filename	target	pointing	location	size_bytes	size_human	format	scan_status	coverage	runs_evidence	result_summary	notes	kind
blc00_probe.raw	TRAPPIST1	UNKNOWN	E:/data	274000001	261.3MB	guppi_raw	SMOKE			262 MB layout probe snippet (interleaved, 8-bit). Engineering only.	Not a sky observation; do not count as coverage.	raw_storage
blc04_guppi_57807_75725_DIAG_TRAPPIST1_0015.0000.PART1GB.raw	TRAPPIST1	ON	E:/data	1073741824	1.0GB	guppi_raw	SMOKE	runs\beast_smoke.csv: blocks 0-0, ch 32,33, p0 (1 flagged, 2026-09-20 20:11:12) | runs\beast_smoke_struct.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 20:11:18) | runs\beast_e2e\scan_on_p0.csv: blocks 0-1, ch 0-63, p0 (12 flagged, 2026-09-20 21:38:32) | runs\beast_e2e\scan_on_p1.csv: blocks 0-1, ch 0-63, p1 (8 flagged, 2026-09-20 21:38:32) | runs\beast_e2e\scan_on_p2.csv: blocks 0-1, ch 0-63, p2 (14 flagged, 2026-09-20 21:38:33) | runs\beast_e2e\scan_on_p3.csv: blocks 0-1, ch 0-63, p3 (14 flagged, 2026-09-20 21:38:32) | runs\beast_e2e\struct_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:38:52) | runs\beast_e2e\struct_off_p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:38:53) | runs\beast_e2e\struct_off_p2.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:38:53) | runs\beast_e2e\struct_off_p3.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:38:54) | runs\beast_e2e\struct_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:38:54) | runs\beast_e2e\struct_on_p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:38:54) | runs\beast_e2e\struct_on_p2.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:38:54) | runs\beast_e2e\struct_on_p3.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:38:54) | runs\beast_trap_smoke\scan_on_p0.csv: blocks 0-7, ch 0-63, p0 (36 flagged, 2026-09-20 20:41:08) | runs\beast_trap_smoke\scan_on_p1.csv: blocks 0-7, ch 0-63, p1 (34 flagged, 2026-09-20 20:41:08) | runs\beast_trap_smoke\scan_on_p2.csv: blocks 0-7, ch 0-63, p2 (49 flagged, 2026-09-20 20:42:51) | runs\beast_trap_smoke\scan_on_p3.csv: blocks 0-7, ch 0-63, p3 (51 flagged, 2026-09-20 20:42:50) | runs\xeno\struct_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 23:55:33) | runs\xeno\trap_on_p0.csv: blocks 0-6, ch 0-63, p0 (36 flagged, 2026-09-20 22:24:03) | runs\xeno\trap_on_p1.csv: blocks 0-6, ch 0-63, p1 (34 flagged, 2026-09-20 22:24:53) | runs\xeno\xeno_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 23:56:10)	runs\beast_smoke.csv: blocks 0-0, ch 32,33, p0 (1 flagged, 2026-09-20 20:11:12) | runs\beast_smoke_struct.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 20:11:18) | runs\beast_e2e\scan_on_p0.csv: blocks 0-1, ch 0-63, p0 (12 flagged, 2026-09-20 21:38:32) | runs\beast_e2e\scan_on_p1.csv: blocks 0-1, ch 0-63, p1 (8 flagged, 2026-09-20 21:38:32) | runs\beast_e2e\scan_on_p2.csv: blocks 0-1, ch 0-63, p2 (14 flagged, 2026-09-20 21:38:33) | runs\beast_e2e\scan_on_p3.csv: blocks 0-1, ch 0-63, p3 (14 flagged, 2026-09-20 21:38:32) | runs\beast_e2e\struct_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:38:52) | runs\beast_e2e\struct_off_p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:38:53) | runs\beast_e2e\struct_off_p2.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:38:53) | runs\beast_e2e\struct_off_p3.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:38:54) | runs\beast_e2e\struct_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:38:54) | runs\beast_e2e\struct_on_p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:38:54) | runs\beast_e2e\struct_on_p2.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:38:54) | runs\beast_e2e\struct_on_p3.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:38:54) | runs\beast_trap_smoke\scan_on_p0.csv: blocks 0-7, ch 0-63, p0 (36 flagged, 2026-09-20 20:41:08) | runs\beast_trap_smoke\scan_on_p1.csv: blocks 0-7, ch 0-63, p1 (34 flagged, 2026-09-20 20:41:08) | runs\beast_trap_smoke\scan_on_p2.csv: blocks 0-7, ch 0-63, p2 (49 flagged, 2026-09-20 20:42:51) | runs\beast_trap_smoke\scan_on_p3.csv: blocks 0-7, ch 0-63, p3 (51 flagged, 2026-09-20 20:42:50) | runs\xeno\struct_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 23:55:33) | runs\xeno\trap_on_p0.csv: blocks 0-6, ch 0-63, p0 (36 flagged, 2026-09-20 22:24:03) | runs\xeno\trap_on_p1.csv: blocks 0-6, ch 0-63, p1 (34 flagged, 2026-09-20 22:24:53) | runs\xeno\xeno_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 23:56:10)	BEAST e2e/trap-smoke: BLOCK-only dispositions, 0 WATCH, 0 CANDIDATE; backend-line thicket both legs.	1 GB excerpt of the 17 GB ON file; full file below is the real record.	raw_storage
blc04_guppi_57807_75725_DIAG_TRAPPIST1_0015.0000.raw	TRAPPIST1	ON	E:/data	17180721152	16.0GB	guppi_raw	SCANNED_FULL	runs\vm_hunt\struct_t15p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 06:23:37) | runs\vm_hunt\struct_trap_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:19:46) | runs\vm_hunt\struct_trap_on_p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:19:47) | runs\vm_hunt\t15_full_p0.csv: blocks 0-127, ch 0-63, p0 (670 flagged, 2026-09-21 02:01:55) | runs\vm_hunt\t15_full_p1.csv: blocks 0-127, ch 0-63, p1 (637 flagged, 2026-09-21 06:21:53) | runs\vm_hunt\trap_on_p0.csv: blocks 0-3, ch 0-63, p0 (24 flagged, 2026-09-21 00:16:58) | runs\vm_hunt\trap_on_p1.csv: blocks 0-3, ch 0-63, p1 (19 flagged, 2026-09-21 00:18:02) | runs\vm_hunt\xeno_trap_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:20:11) | runs\xeno\fullstruct_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 11:01:59) | runs\xeno\fulltrap_on_p0.csv: blocks 0-127, ch 0-63, p0 (670 flagged, 2026-09-21 09:32:15) | runs\xeno\fulltrap_on_p1.csv: blocks 0-127, ch 0-63, p1 (241 flagged, 2026-09-21 10:11:10) | runs\xeno\fullxeno_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 11:02:28)	runs\vm_hunt\struct_t15p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 06:23:37) | runs\vm_hunt\struct_trap_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:19:46) | runs\vm_hunt\struct_trap_on_p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:19:47) | runs\vm_hunt\t15_full_p0.csv: blocks 0-127, ch 0-63, p0 (670 flagged, 2026-09-21 02:01:55) | runs\vm_hunt\t15_full_p1.csv: blocks 0-127, ch 0-63, p1 (637 flagged, 2026-09-21 06:21:53) | runs\vm_hunt\trap_on_p0.csv: blocks 0-3, ch 0-63, p0 (24 flagged, 2026-09-21 00:16:58) | runs\vm_hunt\trap_on_p1.csv: blocks 0-3, ch 0-63, p1 (19 flagged, 2026-09-21 00:18:02) | runs\vm_hunt\xeno_trap_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:20:11) | runs\xeno\fullstruct_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 11:01:59) | runs\xeno\fulltrap_on_p0.csv: blocks 0-127, ch 0-63, p0 (670 flagged, 2026-09-21 09:32:15) | runs\xeno\fulltrap_on_p1.csv: blocks 0-127, ch 0-63, p1 (241 flagged, 2026-09-21 10:11:10) | runs\xeno\fullxeno_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 11:02:28)	Full census p0 (670 flags) + p1 (637); xeno grades to I2 max; 6-machine xvm: bits noise-like, 0 CANDIDATE-structure; legacy vm false-alarmed on a quiet control (held by upgrade).	Primary TRAPPIST-1 ON leg. Legacy baseline_0015_*.csv also cover it (manifest missing).	raw_storage
blc04_guppi_57807_75805_DIAG_TRAPPIST1_OFF_0016.0000.PART1GB.raw	TRAPPIST1	OFF	E:/data	1073741824	1.0GB	guppi_raw	SMOKE	runs\beast_e2e\scan_off_p0.csv: blocks 0-1, ch 0-63, p0 (14 flagged, 2026-09-20 21:38:52) | runs\beast_e2e\scan_off_p1.csv: blocks 0-1, ch 0-63, p1 (15 flagged, 2026-09-20 21:38:52) | runs\beast_e2e\scan_off_p2.csv: blocks 0-1, ch 0-63, p2 (18 flagged, 2026-09-20 21:38:52) | runs\beast_e2e\scan_off_p3.csv: blocks 0-1, ch 0-63, p3 (20 flagged, 2026-09-20 21:38:52) | runs\beast_trap_smoke\scan_off_p0.csv: blocks 0-7, ch 0-63, p0 (42 flagged, 2026-09-20 20:44:35) | runs\beast_trap_smoke\scan_off_p1.csv: blocks 0-7, ch 0-63, p1 (46 flagged, 2026-09-20 20:44:36) | runs\beast_trap_smoke\scan_off_p2.csv: blocks 0-7, ch 0-63, p2 (75 flagged, 2026-09-20 20:46:20) | runs\beast_trap_smoke\scan_off_p3.csv: blocks 0-7, ch 0-63, p3 (83 flagged, 2026-09-20 20:46:20) | runs\xeno\struct_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 23:55:34) | runs\xeno\trap_off_p0.csv: blocks 0-6, ch 0-63, p0 (42 flagged, 2026-09-20 22:25:37) | runs\xeno\trap_off_p1.csv: blocks 0-6, ch 0-63, p1 (46 flagged, 2026-09-20 22:26:22) | runs\xeno\xeno_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 23:56:11)	runs\beast_e2e\scan_off_p0.csv: blocks 0-1, ch 0-63, p0 (14 flagged, 2026-09-20 21:38:52) | runs\beast_e2e\scan_off_p1.csv: blocks 0-1, ch 0-63, p1 (15 flagged, 2026-09-20 21:38:52) | runs\beast_e2e\scan_off_p2.csv: blocks 0-1, ch 0-63, p2 (18 flagged, 2026-09-20 21:38:52) | runs\beast_e2e\scan_off_p3.csv: blocks 0-1, ch 0-63, p3 (20 flagged, 2026-09-20 21:38:52) | runs\beast_trap_smoke\scan_off_p0.csv: blocks 0-7, ch 0-63, p0 (42 flagged, 2026-09-20 20:44:35) | runs\beast_trap_smoke\scan_off_p1.csv: blocks 0-7, ch 0-63, p1 (46 flagged, 2026-09-20 20:44:36) | runs\beast_trap_smoke\scan_off_p2.csv: blocks 0-7, ch 0-63, p2 (75 flagged, 2026-09-20 20:46:20) | runs\beast_trap_smoke\scan_off_p3.csv: blocks 0-7, ch 0-63, p3 (83 flagged, 2026-09-20 20:46:20) | runs\xeno\struct_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 23:55:34) | runs\xeno\trap_off_p0.csv: blocks 0-6, ch 0-63, p0 (42 flagged, 2026-09-20 22:25:37) | runs\xeno\trap_off_p1.csv: blocks 0-6, ch 0-63, p1 (46 flagged, 2026-09-20 22:26:22) | runs\xeno\xeno_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 23:56:11)	BEAST e2e/trap-smoke OFF leg: BLOCK-only, 0 WATCH, 0 CANDIDATE.	1 GB excerpt of the 17 GB OFF file.	raw_storage
blc04_guppi_57807_75805_DIAG_TRAPPIST1_OFF_0016.0000.raw	TRAPPIST1	OFF	E:/data	17180721152	16.0GB	guppi_raw	SCANNED_FULL	runs\vm_hunt\struct_t16p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 06:23:43) | runs\vm_hunt\struct_trap_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:19:47) | runs\vm_hunt\struct_trap_off_p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:19:48) | runs\vm_hunt\t16_full_p0.csv: blocks 0-127, ch 0-63, p0 (787 flagged, 2026-09-21 02:01:58) | runs\vm_hunt\t16_full_p1.csv: blocks 0-127, ch 0-63, p1 (736 flagged, 2026-09-21 06:21:55) | runs\vm_hunt\trap_off_p0.csv: blocks 0-3, ch 0-63, p0 (24 flagged, 2026-09-21 00:18:05) | runs\vm_hunt\trap_off_p1.csv: blocks 0-3, ch 0-63, p1 (28 flagged, 2026-09-21 00:18:06) | runs\vm_hunt\xeno_trap_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:20:12) | runs\xeno\fullstruct_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 11:02:02) | runs\xeno\fulltrap_off_p0.csv: blocks 0-127, ch 0-63, p0 (787 flagged, 2026-09-21 10:36:47) | runs\xeno\fulltrap_off_p1.csv: blocks 0-127, ch 0-63, p1 (736 flagged, 2026-09-21 11:01:43) | runs\xeno\fullxeno_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 11:02:30)	runs\vm_hunt\struct_t16p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 06:23:43) | runs\vm_hunt\struct_trap_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:19:47) | runs\vm_hunt\struct_trap_off_p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:19:48) | runs\vm_hunt\t16_full_p0.csv: blocks 0-127, ch 0-63, p0 (787 flagged, 2026-09-21 02:01:58) | runs\vm_hunt\t16_full_p1.csv: blocks 0-127, ch 0-63, p1 (736 flagged, 2026-09-21 06:21:55) | runs\vm_hunt\trap_off_p0.csv: blocks 0-3, ch 0-63, p0 (24 flagged, 2026-09-21 00:18:05) | runs\vm_hunt\trap_off_p1.csv: blocks 0-3, ch 0-63, p1 (28 flagged, 2026-09-21 00:18:06) | runs\vm_hunt\xeno_trap_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:20:12) | runs\xeno\fullstruct_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 11:02:02) | runs\xeno\fulltrap_off_p0.csv: blocks 0-127, ch 0-63, p0 (787 flagged, 2026-09-21 10:36:47) | runs\xeno\fulltrap_off_p1.csv: blocks 0-127, ch 0-63, p1 (736 flagged, 2026-09-21 11:01:43) | runs\xeno\fullxeno_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 11:02:30)	Full census p0 (787 flags) + p1 (736); OFF mirrors ON line-for-line (common-mode backend); xeno/xvm quiet.	Primary TRAPPIST-1 OFF leg. Legacy baseline_0016_*.csv also cover it (manifest missing).	raw_storage
blc04_guppi_57807_75885_DIAG_TRAPPIST1_0017.0000.raw	TRAPPIST1	ON	E:/data	17180721152	16.0GB	guppi_raw	SCANNED_FULL	runs\campaigns\2026-09-21_mega\targets\TRAPPIST1_57807_blc04_75885_s17_part0000\scan_on_p0.csv: blocks 0-127, ch 0-63, p0 (2030 flagged, 2026-09-21 14:00:13) | runs\campaigns\2026-09-21_mega\targets\TRAPPIST1_57807_blc04_75885_s17_part0000\scan_on_p1.csv: blocks 0-127, ch 0-63, p1 (1996 flagged, 2026-09-21 14:11:12) | runs\campaigns\2026-09-21_mega\targets\TRAPPIST1_57807_blc04_75885_s17_part0000\struct_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 14:13:43) | runs\campaigns\2026-09-21_mega\targets\TRAPPIST1_57807_blc04_75885_s17_part0000\struct_on_p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 14:16:08) | runs\campaigns\2026-09-21_mega\targets\TRAPPIST1_57807_blc04_75885_s17_part0000\xeno.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 14:18:45) | runs\campaigns\2026-09-21_mega\targets\TRAPPIST1_57807_blc04_75885_s17_part0000\sweep\scan_on_p0.csv: blocks 0-127, ch 0,8,16,24,32,40,48,56, p0 (456 flagged, 2026-09-21 12:44:24) | runs\vm_hunt\t17_full_p0.csv: blocks 0-127, ch 0-63, p0 (2030 flagged, 2026-09-21 01:09:13) | runs\vm_hunt\t17_full_p1.csv: blocks 0-127, ch 0-63, p1 (1996 flagged, 2026-09-21 01:09:13) | runs\vm_hunt\t17_full_p2.csv: blocks 0-127, ch 0-63, p2 (2387 flagged, 2026-09-21 06:40:33) | runs\vm_hunt\trap17_on_p0.csv: blocks 0-3, ch 0-63, p0 (43 flagged, 2026-09-21 00:20:51) | runs\vm_hunt\trap17_on_p1.csv: blocks 0-3, ch 0-63, p1 (36 flagged, 2026-09-21 00:20:51)	runs\campaigns\2026-09-21_mega\targets\TRAPPIST1_57807_blc04_75885_s17_part0000\scan_on_p0.csv: blocks 0-127, ch 0-63, p0 (2030 flagged, 2026-09-21 14:00:13) | runs\campaigns\2026-09-21_mega\targets\TRAPPIST1_57807_blc04_75885_s17_part0000\scan_on_p1.csv: blocks 0-127, ch 0-63, p1 (1996 flagged, 2026-09-21 14:11:12) | runs\campaigns\2026-09-21_mega\targets\TRAPPIST1_57807_blc04_75885_s17_part0000\struct_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 14:13:43) | runs\campaigns\2026-09-21_mega\targets\TRAPPIST1_57807_blc04_75885_s17_part0000\struct_on_p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 14:16:08) | runs\campaigns\2026-09-21_mega\targets\TRAPPIST1_57807_blc04_75885_s17_part0000\xeno.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 14:18:45) | runs\campaigns\2026-09-21_mega\targets\TRAPPIST1_57807_blc04_75885_s17_part0000\sweep\scan_on_p0.csv: blocks 0-127, ch 0,8,16,24,32,40,48,56, p0 (456 flagged, 2026-09-21 12:44:24) | runs\vm_hunt\t17_full_p0.csv: blocks 0-127, ch 0-63, p0 (2030 flagged, 2026-09-21 01:09:13) | runs\vm_hunt\t17_full_p1.csv: blocks 0-127, ch 0-63, p1 (1996 flagged, 2026-09-21 01:09:13) | runs\vm_hunt\t17_full_p2.csv: blocks 0-127, ch 0-63, p2 (2387 flagged, 2026-09-21 06:40:33) | runs\vm_hunt\trap17_on_p0.csv: blocks 0-3, ch 0-63, p0 (43 flagged, 2026-09-21 00:20:51) | runs\vm_hunt\trap17_on_p1.csv: blocks 0-3, ch 0-63, p1 (36 flagged, 2026-09-21 00:20:51)	ON FIRE: full census p0/p1/p2 = 2030/1996/2387 flagged (dense RFI inferno vs 1-2 FAM-HITs in 0015); strongest coherent line b2/ch56 31.5x@268Hz + Y2 6.4x@358Hz; bits noise-like, 0 xvm CANDIDATE. Needs ON-OFF cadence_pair vs 0016 before any claim.	Third TRAPPIST file, first deep look 2026-09-21. Small scan runs/vm_hunt/blc00_t17_p0.csv is the blc00 node of same pointing.	raw_storage
blc44_guppi_59103_01984_DIAG_KEPLER-160_0010.0000.raw	KEPLER-160	ON	E:/data	17180721152	16.0GB	guppi_raw	SCANNED_FULL	runs\beast_kepler\scan_on_p0.csv: blocks 0-127, ch 0-63, p0 (395 flagged, 2026-09-20 20:48:23) | runs\beast_kepler\scan_on_p1.csv: blocks 0-127, ch 0-63, p1 (516 flagged, 2026-09-20 20:48:29) | runs\beast_kepler\scan_on_p2.csv: blocks 0-127, ch 0-63, p2 (583 flagged, 2026-09-20 20:48:47) | runs\beast_kepler\scan_on_p3.csv: blocks 0-127, ch 0-63, p3 (639 flagged, 2026-09-20 20:48:49) | runs\beast_kepler\struct_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:09:58) | runs\beast_kepler\struct_off_p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:10:01) | runs\beast_kepler\struct_off_p2.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:10:11) | runs\beast_kepler\struct_off_p3.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:10:17) | runs\beast_kepler\struct_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:10:18) | runs\beast_kepler\struct_on_p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:10:18) | runs\beast_kepler\struct_on_p2.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:10:20) | runs\beast_kepler\struct_on_p3.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:10:21) | runs\vm_hunt\kep_on_p0.csv: blocks 0-3, ch 0-63, p0 (10 flagged, 2026-09-21 00:19:29) | runs\vm_hunt\kep_on_p1.csv: blocks 0-3, ch 0-63, p1 (16 flagged, 2026-09-21 00:19:30) | runs\vm_hunt\struct_kep_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:19:48) | runs\vm_hunt\struct_kep_on_p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:19:49) | runs\xeno\kstruct_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 23:55:51) | runs\xeno\kxeno_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 23:56:20)	runs\beast_kepler\scan_on_p0.csv: blocks 0-127, ch 0-63, p0 (395 flagged, 2026-09-20 20:48:23) | runs\beast_kepler\scan_on_p1.csv: blocks 0-127, ch 0-63, p1 (516 flagged, 2026-09-20 20:48:29) | runs\beast_kepler\scan_on_p2.csv: blocks 0-127, ch 0-63, p2 (583 flagged, 2026-09-20 20:48:47) | runs\beast_kepler\scan_on_p3.csv: blocks 0-127, ch 0-63, p3 (639 flagged, 2026-09-20 20:48:49) | runs\beast_kepler\struct_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:09:58) | runs\beast_kepler\struct_off_p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:10:01) | runs\beast_kepler\struct_off_p2.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:10:11) | runs\beast_kepler\struct_off_p3.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:10:17) | runs\beast_kepler\struct_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:10:18) | runs\beast_kepler\struct_on_p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:10:18) | runs\beast_kepler\struct_on_p2.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:10:20) | runs\beast_kepler\struct_on_p3.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 21:10:21) | runs\vm_hunt\kep_on_p0.csv: blocks 0-3, ch 0-63, p0 (10 flagged, 2026-09-21 00:19:29) | runs\vm_hunt\kep_on_p1.csv: blocks 0-3, ch 0-63, p1 (16 flagged, 2026-09-21 00:19:30) | runs\vm_hunt\struct_kep_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:19:48) | runs\vm_hunt\struct_kep_on_p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:19:49) | runs\xeno\kstruct_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 23:55:51) | runs\xeno\kxeno_on_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 23:56:20)	BEAST_kepler ON: p1 gave 2 CANDIDATE + 27 WATCH (only CANDIDATEs in corpus; need ON-OFF pair review via cadence_pair); longhaul SCD megas to 40x are backend comb (discounted); xvm noise-like.	Control target. Hottest veto output in the corpus — follow-up priority #1.	raw_storage
blc44_guppi_59103_02170_DIAG_KEPLER-160_OFF_0011.0000.raw	KEPLER-160	OFF	E:/data	17180721152	16.0GB	guppi_raw	SCANNED_FULL	runs\beast_kepler\scan_off_p0.csv: blocks 0-127, ch 0-63, p0 (4 flagged, 2026-09-20 21:08:57) | runs\beast_kepler\scan_off_p1.csv: blocks 0-127, ch 0-63, p1 (9 flagged, 2026-09-20 21:09:11) | runs\beast_kepler\scan_off_p2.csv: blocks 0-127, ch 0-63, p2 (31 flagged, 2026-09-20 21:09:47) | runs\beast_kepler\scan_off_p3.csv: blocks 0-127, ch 0-63, p3 (36 flagged, 2026-09-20 21:09:47) | runs\vm_hunt\kep_off_p0.csv: blocks 0-3, ch 0-63, p0 (8 flagged, 2026-09-21 00:19:28) | runs\vm_hunt\kep_off_p1.csv: blocks 0-3, ch 0-63, p1 (16 flagged, 2026-09-21 00:19:29) | runs\vm_hunt\struct_kep_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:19:48) | runs\vm_hunt\struct_kep_off_p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:19:49) | runs\xeno\kstruct_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 23:57:01) | runs\xeno\kxeno_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 23:57:11)	runs\beast_kepler\scan_off_p0.csv: blocks 0-127, ch 0-63, p0 (4 flagged, 2026-09-20 21:08:57) | runs\beast_kepler\scan_off_p1.csv: blocks 0-127, ch 0-63, p1 (9 flagged, 2026-09-20 21:09:11) | runs\beast_kepler\scan_off_p2.csv: blocks 0-127, ch 0-63, p2 (31 flagged, 2026-09-20 21:09:47) | runs\beast_kepler\scan_off_p3.csv: blocks 0-127, ch 0-63, p3 (36 flagged, 2026-09-20 21:09:47) | runs\vm_hunt\kep_off_p0.csv: blocks 0-3, ch 0-63, p0 (8 flagged, 2026-09-21 00:19:28) | runs\vm_hunt\kep_off_p1.csv: blocks 0-3, ch 0-63, p1 (16 flagged, 2026-09-21 00:19:29) | runs\vm_hunt\struct_kep_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:19:48) | runs\vm_hunt\struct_kep_off_p1.csv: blocks None, ch None, pNone (None flagged, 2026-09-21 00:19:49) | runs\xeno\kstruct_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 23:57:01) | runs\xeno\kxeno_off_p0.csv: blocks None, ch None, pNone (None flagged, 2026-09-20 23:57:11)	OFF leg FAM-HIT heavy on p2/p3 (87/83 slices) — backend wander fingerprint, not sky.	Pairs with 0010 ON for cadence gating.	raw_storage
blc5_guppi_57388_W75N_0002.0000.raw	W75N	ON	E:/data	16929030144	15.8GB	guppi_raw	QUARANTINED			Probe showed dark digitizer (few distinct codes, low RMS); scan output quarantined to runs/hits_w75n.QUARANTINED.csv. Phantom SPECTRAL-LINE+VM-WATCH flags are digitizer artifacts.	DO NOT SCAN. Quarantine before analysis per AGENTS.md.	raw_storage
blc00_guppi_57807_75805_DIAG_TRAPPIST1_OFF_0016.0000.raw	TRAPPIST1	OFF	D:/data/raw	17180721152	16.0GB	guppi_raw	SCANNED_PARTIAL	runs\campaigns\2026-09-21_mega\targets\TRAPPIST1_57807_blc00_75805_s16_part0000\sweep\scan_off_p0.csv: blocks 0-127, ch 0,8,16,24,32,40,48,56, p0 (3 flagged, 2026-09-21 12:32:59)	runs\campaigns\2026-09-21_mega\targets\TRAPPIST1_57807_blc00_75805_s16_part0000\sweep\scan_off_p0.csv: blocks 0-127, ch 0,8,16,24,32,40,48,56, p0 (3 flagged, 2026-09-21 12:32:59)			raw_storage
