target,block,chan,persist,multichan
M31,30,56,0,0
M31,0,4,0,0
M31,24,27,0,0
M31,8,61,0,0
M31,16,26,0,0
M31,19,13,0,0
HIP,0,0,0,1
HIP,0,1,0,1
HIP,0,2,0,1
HIP,0,3,0,1
HIP,0,4,0,1
HIP,0,5,0,1
HIP,0,6,0,1
HIP,0,7,0,1
HIP,0,8,0,1
HIP,0,9,0,1
HIP,0,10,0,1
HIP,0,11,0,1
HIP,0,12,0,1
HIP,0,13,0,1
HIP,0,14,0,1
HIP,0,15,0,1
HIP,0,16,0,1
HIP,0,17,0,1
HIP,0,18,0,1
HIP,0,19,0,1
HIP,0,20,0,1
HIP,0,21,0,1
HIP,0,22,0,1
HIP,0,23,0,1
HIP,0,24,0,1
HIP,0,25,0,1
HIP,0,26,0,1
HIP,0,27,0,1
HIP,0,28,0,1
HIP,0,29,0,1
HIP,0,30,0,1
HIP,0,31,0,1
HIP,0,32,0,1
HIP,0,33,0,1
HIP,0,34,0,1
HIP,0,35,0,1
HIP,0,36,0,1
HIP,0,37,0,1
HIP,0,38,0,1
HIP,0,39,0,1
HIP,0,40,0,1
HIP,0,41,0,1
HIP,0,42,0,1
HIP,0,43,0,1
HIP,0,44,0,1
HIP,0,45,0,1
HIP,0,46,0,1
HIP,0,47,0,1
HIP,0,48,0,1
HIP,0,49,0,1
HIP,0,50,0,1
HIP,0,51,0,1
HIP,0,52,0,1
HIP,0,53,0,1
HIP,0,54,0,1
HIP,0,55,0,1
HIP,0,56,0,1
HIP,0,57,0,1
HIP,0,58,0,1
HIP,0,59,0,1
HIP,0,60,0,1
HIP,0,61,0,1
HIP,0,62,0,1
HIP,0,63,0,1
