block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,verdict
0,0,0,1.32,319,2.49,381142,Y2,,,clean
0,8,0,1.34,470,2.33,438005,Y2,,,clean
0,16,0,1.30,352,2.68,1090050,Y2,,,clean
0,24,0,1.33,1094,2.41,58919,Y2,,,clean
0,32,0,1.30,1734,2.43,562280,Y2,,,clean
0,40,0,1.31,225,2.31,269383,Y2,,,clean
0,48,0,1.37,1001,2.34,778824,Y2,,,clean
0,56,0,1.31,1854,2.48,917852,Y2,,,clean
1,0,0,1.32,933,2.53,499070,Y2,,,clean
1,8,0,1.31,1546,2.37,566125,Y2,,,clean
1,16,0,1.34,1704,2.38,1215130,Y2,,,clean
1,24,0,1.43,679,2.21,932068,Y2,,,clean
1,32,0,1.33,1878,2.52,637382,Y2,,,clean
1,40,0,1.32,1311,2.44,795722,Y2,,,clean
1,48,0,1.33,1814,2.44,540286,Y2,,,clean
1,56,0,1.35,418,2.57,54002,Y2,,,clean
2,0,0,1.31,2047,2.82,745565,Y2,,,clean
2,8,0,1.29,490,2.41,1376241,Y2,,,clean
2,16,0,1.30,167,2.47,719190,Y2,,,clean
2,24,0,1.29,150,2.37,40233,Y2,,,clean
2,32,0,1.27,1154,2.56,1252860,Y2,,,clean
2,40,0,1.34,778,2.25,884682,Y2,,,clean
2,48,0,1.33,221,2.27,577211,Y2,,,clean
2,56,0,1.31,772,2.29,943869,Y2,,,clean
3,0,0,1.32,222,2.46,1093805,Y2,,,clean
3,8,0,1.34,1475,2.28,1397789,Y2,,,clean
3,16,0,1.32,1,2.39,72062,Y2,,,clean
3,24,0,1.32,1474,2.39,1158714,Y2,,,clean
3,32,0,1.36,11,2.47,958353,Y2,,,clean
3,40,0,1.31,1070,2.38,75549,Y2,,,clean
3,48,0,1.35,702,2.30,133753,Y2,,,clean
3,56,0,1.40,374,2.53,587583,Y2,,,clean
4,0,0,1.29,1001,2.70,1354963,Y2,,,clean
4,8,0,1.36,1955,2.21,681907,Y2,,,clean
4,16,0,1.37,864,2.59,593036,Y2,,,clean
4,24,0,1.35,2046,2.48,636220,Y2,,,clean
4,32,0,1.31,774,2.41,729382,Y2,,,clean
4,40,0,1.28,653,2.30,1250178,Y2,,,clean
4,48,0,1.34,227,2.46,396252,Y2,,,clean
4,56,0,1.48,102,2.42,292182,Y2,,,clean
5,0,0,1.28,1396,2.42,315696,Y2,,,clean
5,8,0,1.30,1109,2.37,186771,Y2,,,clean
5,16,0,1.34,805,2.27,524193,Y2,,,clean
5,24,0,1.32,1215,2.63,348866,Y2,,,clean
5,32,0,1.29,1761,2.48,1239538,Y2,,,clean
5,40,0,1.31,281,2.28,448465,Y2,,,clean
5,48,0,1.28,1152,2.21,1368731,Y2,,,clean
5,56,0,1.35,1959,2.34,424415,Y2,,,clean
6,0,0,1.36,1683,2.40,1004756,Y2,,,clean
6,8,0,1.32,1270,2.45,1009226,Y2,,,clean
6,16,0,1.31,591,2.47,97364,Y2,,,clean
