block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,verdict
0,0,0,2.28,1,7.43,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,1,0,2.21,1,6.98,179,Y2,0.24/noise-like,0.24/noise-like,FAM-HIT
0,2,0,2.02,1,6.82,179,Y4,0.00/noise-like,0.24/noise-like,FAM-HIT
0,3,0,1.84,1,6.24,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,4,0,2.25,1,6.35,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,5,0,1.91,1,4.89,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,6,0,1.95,1,6.23,179,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,7,0,2.25,1,6.69,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,8,0,1.83,1,8.09,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,9,0,2.32,1,6.39,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,10,0,2.27,1,9.46,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,11,0,1.92,1,5.49,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,12,0,2.03,1,5.92,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,13,0,1.96,1,5.22,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,14,0,2.14,1,6.50,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,15,0,1.99,1,6.76,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,16,0,2.19,1,6.22,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,17,0,2.24,1,6.94,179,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,18,0,2.17,1,4.19,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,19,0,2.23,1,8.81,179,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,20,0,1.93,1,5.12,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,21,0,2.17,1,7.56,179,Y2,0.42/WATCH,0.00/noise-like,FAM-HIT
0,22,0,2.29,1,8.17,179,Y2,0.24/noise-like,0.24/noise-like,FAM-HIT
0,23,0,2.36,1,8.67,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,24,0,2.09,1,7.80,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,25,0,2.07,1,5.86,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,26,0,2.29,1,5.75,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,27,0,2.29,1,9.87,179,Y4,0.00/noise-like,0.24/noise-like,FAM-HIT
0,28,0,2.31,1,5.82,179,Y4,0.00/noise-like,0.00/noise-like,FAM-HIT
0,29,0,2.11,1,6.71,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,30,0,2.21,1,6.91,179,Y4,0.00/noise-like,0.24/noise-like,FAM-HIT
0,31,0,1.96,1,6.64,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,32,0,1.92,1,5.49,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,33,0,1.87,1,6.94,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,34,0,2.47,1,5.79,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,35,0,2.24,1,7.17,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,36,0,2.28,1,5.50,179,Y2,0.24/noise-like,0.24/noise-like,FAM-HIT
0,37,0,1.94,1,5.25,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,38,0,2.03,1,8.13,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,39,0,2.28,1,5.83,179,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,40,0,1.99,1,6.35,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,41,0,2.27,1,6.54,179,Y2,0.24/noise-like,0.24/noise-like,FAM-HIT
0,42,0,2.07,1,6.10,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,43,0,2.28,1,6.09,179,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,44,0,1.89,1,6.99,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,45,0,2.02,1,6.94,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,46,0,1.91,1,6.22,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,47,0,2.26,1,7.08,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,48,0,2.50,1,6.73,179,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,49,0,2.46,1,6.50,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,50,0,2.14,1,6.17,179,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,51,0,2.08,1,6.43,179,Y2,0.24/noise-like,0.24/noise-like,FAM-HIT
0,52,0,2.36,1,6.31,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,53,0,2.14,1,5.43,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,54,0,2.16,1,5.84,179,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,55,0,2.16,1,6.20,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,56,0,2.03,1,6.34,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,57,0,2.05,1,7.15,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,58,0,2.18,1,5.36,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,59,0,2.06,1,6.29,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,60,0,2.02,1,4.05,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,61,0,2.21,1,6.03,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,62,0,2.43,1,6.50,179,Y2,0.24/noise-like,0.24/noise-like,FAM-HIT
0,63,0,2.55,1,7.32,179,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
