block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,verdict
0,0,0,109.72,1,4.32,56684,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,1,0,111.65,1,3.31,179,Y2,0.75/CANDIDATE,0.24/noise-like,SPECTRAL-LINE+VM-WATCH
0,2,0,111.97,1,5.35,179,Y2,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,3,0,107.98,1,5.05,179,Y2,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,4,0,110.91,1,7.73,8225,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,5,0,110.35,1,4.25,179,Y2,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,6,0,111.11,1,3.90,179,Y2,0.75/CANDIDATE,0.24/noise-like,SPECTRAL-LINE+VM-WATCH
0,7,0,111.28,1,5.17,117034,Y4,0.75/CANDIDATE,0.24/noise-like,SPECTRAL-LINE+VM-WATCH
0,8,0,110.31,1,6.38,142336,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,9,0,111.83,1,5.16,92000,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,10,0,111.56,1,4.86,179,Y2,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,11,0,113.45,1,5.29,33259,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,12,0,109.24,1,5.05,179,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,13,0,106.93,1,5.17,179,Y4,0.82/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,14,0,114.20,1,3.57,175416,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,15,0,111.66,1,4.05,58472,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,16,0,110.85,1,4.93,108629,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,17,0,110.71,1,3.49,179529,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,18,0,110.79,1,4.26,179,Y2,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,19,0,111.54,1,4.22,179,Y4,0.75/CANDIDATE,0.24/noise-like,SPECTRAL-LINE+VM-WATCH
0,20,0,110.49,1,6.83,179,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,21,0,108.68,1,8.14,179,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,22,0,108.17,1,5.02,179,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,23,0,109.54,1,3.89,179,Y2,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,24,0,110.58,1,5.75,7957,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,25,0,110.72,1,4.55,8315,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,26,0,111.34,1,3.41,179,Y2,0.75/CANDIDATE,0.24/noise-like,SPECTRAL-LINE+VM-WATCH
0,27,0,110.19,1,3.96,179,Y2,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,28,0,108.82,1,5.74,66787,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,29,0,107.83,1,5.46,179,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,30,0,108.00,1,4.13,179,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
