block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,verdict
0,0,0,1.37,1214,2.30,1039714,Y2,,,clean
0,1,0,1.38,1059,2.36,1124382,Y2,,,clean
0,2,0,1.28,1614,2.43,799209,Y2,,,clean
0,3,0,1.34,800,2.30,421464,Y2,,,clean
0,4,0,1.36,475,2.32,1091301,Y2,,,clean
0,5,0,1.29,1497,2.35,198305,Y2,,,clean
0,6,0,1.33,1301,2.53,983745,Y2,,,clean
0,7,0,1.35,1816,2.78,360757,Y2,,,clean
0,8,0,1.30,1680,2.80,1059383,Y2,,,clean
0,9,0,1.33,1086,2.44,41306,Y2,,,clean
0,10,0,1.36,460,2.38,1250535,Y2,,,clean
0,11,0,1.38,1419,2.47,1086652,Y2,,,clean
0,12,0,1.33,839,2.44,513554,Y2,,,clean
0,13,0,1.32,1744,2.43,179,Y2,,,clean
0,14,0,1.31,79,2.33,22262,Y2,,,clean
0,15,0,1.32,580,2.36,899792,Y2,,,clean
0,16,0,1.35,1339,2.42,1405030,Y2,,,clean
0,17,0,1.32,1586,2.50,673503,Y2,,,clean
0,18,0,1.34,1946,2.77,250608,Y2,,,clean
0,19,0,1.31,1874,2.48,407338,Y2,,,clean
0,20,0,1.35,1687,2.49,50426,Y2,,,clean
0,21,0,1.37,486,2.28,1131088,Y2,,,clean
0,22,0,1.29,902,2.36,1463950,Y2,,,clean
0,23,0,1.31,396,2.65,1287192,Y2,,,clean
0,24,0,1.30,1862,2.49,836402,Y2,,,clean
0,25,0,1.29,796,2.64,467598,Y2,,,clean
0,26,0,1.40,1511,2.33,820935,Y2,,,clean
0,27,0,1.32,1072,2.45,181496,Y2,,,clean
0,28,0,1.35,2017,2.42,396878,Y2,,,clean
0,29,0,1.37,1230,2.36,687897,Y2,,,clean
0,30,0,1.33,449,2.25,928134,Y2,,,clean
0,31,0,1.36,952,2.61,283599,Y2,,,clean
0,32,0,1.43,1331,2.34,173450,Y2,,,clean
0,33,0,1.32,1497,2.33,1308829,Y2,,,clean
0,34,0,1.39,404,2.62,584275,Y2,,,clean
0,35,0,1.39,1312,2.57,509709,Y2,,,clean
0,36,0,1.31,1957,2.24,931174,Y2,,,clean
0,37,0,1.34,1796,2.86,267327,Y2,,,clean
0,38,0,1.28,502,2.31,1322061,Y2,,,clean
0,39,0,1.29,1956,2.37,795722,Y2,,,clean
0,40,0,1.31,1251,2.31,133932,Y2,,,clean
0,41,0,1.31,751,2.38,306040,Y2,,,clean
0,42,0,1.30,948,2.78,705153,Y2,,,clean
0,43,0,1.30,1113,2.58,183552,Y2,,,clean
0,44,0,1.35,128,2.35,639170,Y2,,,clean
0,45,0,1.35,361,2.47,166386,Y2,,,clean
0,46,0,1.31,1419,2.36,1150668,Y2,,,clean
0,47,0,1.32,947,2.52,895679,Y2,,,clean
0,48,0,1.34,1553,2.61,233710,Y2,,,clean
0,49,0,1.32,724,2.63,743777,Y2,,,clean
0,50,0,1.31,346,2.26,144303,Y2,,,clean
0,51,0,1.31,815,2.55,1091838,Y2,,,clean
0,52,0,1.32,939,2.65,232369,Y2,,,clean
0,53,0,1.32,949,2.40,1457423,Y2,,,clean
0,54,0,1.36,1749,2.41,574797,Y2,,,clean
0,55,0,1.33,1882,2.43,1069218,Y2,,,clean
0,56,0,1.32,1172,2.36,184268,Y2,,,clean
0,57,0,1.35,41,2.43,1448750,Y2,,,clean
0,58,0,1.31,1080,2.62,765145,Y2,,,clean
0,59,0,1.37,1320,2.41,297815,Y2,,,clean
0,60,0,1.32,82,2.75,642568,Y2,,,clean
0,61,0,1.35,703,2.43,1433551,Y2,,,clean
0,62,0,1.36,669,2.47,460356,Y2,,,clean
0,63,0,1.30,254,2.67,914544,Y2,,,clean
