block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,spikes,rms,verdict
0,0,1,4.33,1,2.66,695586,Y4,0.00/noise-like,0.24/noise-like,0,19.271,hump-note
0,1,1,1.51,1,2.36,604212,Y2,,,0,18.763,clean
0,2,1,1.44,1,2.32,1291484,Y2,,,0,18.218,clean
0,3,1,1.42,1,2.41,119179,Y2,,,0,17.843,clean
0,4,1,1.54,1,2.47,522405,Y4,,,0,17.695,clean
0,5,1,1.38,1,2.41,198930,Y4,,,0,17.869,clean
0,6,1,1.47,1,2.37,75728,Y2,,,0,18.175,clean
0,7,1,1.38,1,2.29,145108,Y2,,,0,18.008,clean
0,8,1,1.70,1,2.39,687003,Y2,,,0,17.343,clean
0,9,1,1.41,636,2.46,226736,Y2,,,0,17.181,clean
0,10,1,1.68,1,2.35,291646,Y2,,,0,17.316,clean
0,11,1,1.50,1,2.23,1208872,Y4,,,0,17.360,clean
0,12,1,1.50,1,2.33,712663,Y4,,,0,17.251,clean
0,13,1,1.37,917,2.28,1431942,Y2,,,0,16.988,clean
0,14,1,1.48,1,2.47,851333,Y4,,,0,16.371,clean
0,15,1,1.37,1317,2.30,1033992,Y2,,,0,15.909,clean
0,16,1,1.42,1,2.53,1450360,Y2,,,0,15.997,clean
0,17,1,1.44,1,2.38,978380,Y4,,,0,16.454,clean
0,18,1,1.59,345,2.42,1453131,Y2,,,0,18.068,clean
0,19,1,1.54,1,2.36,1274675,Y4,,,0,16.377,clean
0,20,1,1.42,1,2.34,140011,Y2,,,0,15.416,clean
0,21,1,1.78,1,2.49,715882,Y2,,,0,14.893,clean
0,22,1,1.66,1,2.54,446498,Y2,,,0,14.901,clean
0,23,1,1.44,1,2.37,1445174,Y2,,,0,15.384,clean
0,24,1,1.44,1,2.27,212878,Y2,,,0,16.267,clean
0,25,1,1.50,1,2.44,252664,Y2,,,0,16.586,clean
0,26,1,1.44,1,2.46,210106,Y4,,,0,15.863,clean
0,27,1,1.60,654,2.42,211090,Y2,,,0,15.139,clean
0,28,1,1.37,1,2.29,647396,Y2,,,0,14.755,clean
0,29,1,1.54,1,2.39,381142,Y2,,,0,15.024,clean
0,30,1,1.59,1,2.42,496387,Y4,,,0,15.523,clean
0,31,1,1.66,1,2.60,749677,Y4,,,0,15.750,clean
0,32,1,1.37,453,2.70,331610,Y4,,,0,15.393,clean
0,33,1,1.65,1,2.28,1004219,Y4,,,0,14.561,clean
0,34,1,1.74,1,2.58,543326,Y4,,,0,13.917,clean
0,35,1,1.79,1,2.75,240684,Y2,,,0,14.006,clean
0,36,1,1.68,1,2.68,637472,Y4,,,0,14.358,clean
0,37,1,1.46,1,2.34,1375794,Y2,,,0,14.323,clean
0,38,1,1.48,512,2.59,1173288,Y2,,,0,13.933,clean
0,39,1,1.54,1,2.67,1409680,Y4,,,0,13.481,clean
0,40,1,1.82,1,2.36,560045,Y4,,,0,13.107,clean
0,41,1,1.62,1,2.46,146180,Y4,,,0,13.016,clean
0,42,1,2.09,1,2.44,858128,Y4,,,0,13.290,clean
0,43,1,1.67,1,2.50,1269758,Y4,,,0,13.631,clean
0,44,1,1.79,1,2.40,901580,Y2,,,0,13.342,clean
0,45,1,1.79,1,2.46,888348,Y4,,,0,12.810,clean
0,46,1,1.73,1,2.63,1281470,Y2,,,0,12.588,clean
0,47,1,1.81,1,2.40,1050442,Y4,,,0,12.732,clean
0,48,1,2.48,1,2.51,722855,Y4,,,0,12.912,clean
0,49,1,2.13,1,2.45,725001,Y4,,,0,12.725,clean
0,50,1,1.96,1,2.31,1080215,Y2,,,0,12.177,clean
0,51,1,1.77,1,2.48,1127511,Y2,,,0,11.211,clean
0,52,1,2.29,1,2.40,417262,Y4,,,0,10.140,clean
0,53,1,2.38,1,2.33,454545,Y2,,,0,9.598,clean
0,54,1,2.84,1,2.82,928134,Y4,0.00/noise-like,0.24/noise-like,0,9.446,hump-note
0,55,1,2.71,1,2.31,861794,Y2,0.00/noise-like,0.00/noise-like,0,9.025,hump-note
0,56,1,2.71,1,2.44,883520,Y2,0.00/noise-like,0.00/noise-like,0,8.091,hump-note
0,59,1,0,-1,0,0,-,,,0,4.631,QUARANTINE:dark-lane range=40 distinct=39
0,60,1,0,-1,0,0,-,,,0,3.874,QUARANTINE:dark-lane range=35 distinct=36
0,61,1,0,-1,0,0,-,,,0,3.336,QUARANTINE:dark-lane range=27 distinct=28
0,63,1,0,-1,0,0,-,,,0,2.314,QUARANTINE:dark-lane range=20 distinct=21
1,0,1,6.17,1,2.47,134200,Y2,0.24/noise-like,0.00/noise-like,0,19.329,SPECTRAL-LINE
1,1,1,1.39,444,2.52,997782,Y2,,,0,18.736,clean
1,2,1,1.36,1277,2.52,481457,Y4,,,0,18.197,clean
1,3,1,1.43,1,2.31,350028,Y2,,,0,17.836,clean
1,4,1,1.35,1,2.87,2861,Y2,,,0,17.669,clean
1,5,1,1.32,1246,2.40,1423001,Y4,,,0,17.845,clean
1,6,1,1.38,1,2.32,164688,Y2,,,0,18.174,clean
1,7,1,1.35,1019,2.30,787407,Y2,,,0,17.994,clean
1,8,1,1.52,1,2.41,670105,Y2,,,0,17.341,clean
1,9,1,1.40,1,2.67,1273870,Y2,,,0,17.183,clean
1,10,1,1.54,1,2.42,1139581,Y4,,,0,17.297,clean
1,11,1,1.42,775,2.61,344396,Y2,,,0,17.313,clean
1,12,1,1.49,1,2.51,70363,Y2,,,0,17.283,clean
1,13,1,1.44,1178,2.42,446945,Y4,,,0,16.974,clean
1,14,1,1.50,1,2.51,747442,Y2,,,0,16.365,clean
1,15,1,1.68,1,2.31,1131177,Y4,,,0,15.915,clean
1,16,1,1.51,1,2.52,216812,Y4,,,0,16.010,clean
1,17,1,1.52,1,2.58,933945,Y2,,,0,16.462,clean
1,18,1,1.69,1,2.34,373989,Y2,,,0,18.064,clean
1,19,1,1.78,1,2.67,1304716,Y4,,,0,16.361,clean
1,20,1,1.53,1,2.42,410736,Y4,,,0,15.384,clean
1,21,1,1.68,1,2.59,593394,Y4,,,0,14.931,clean
1,22,1,1.84,1,2.25,364155,Y4,,,0,14.890,clean
1,23,1,1.55,1,2.38,284225,Y4,,,0,15.359,clean
1,24,1,1.54,1,2.30,154853,Y2,,,0,16.277,clean
1,25,1,1.69,1,2.62,549406,Y4,,,0,16.569,clean
1,26,1,1.58,1,2.26,859469,Y4,,,0,15.873,clean
1,27,1,1.68,1,2.50,1206279,Y2,,,0,15.085,clean
1,28,1,1.58,1,2.55,1178116,Y2,,,0,14.751,clean
1,29,1,1.58,1,2.47,1395017,Y2,,,0,14.988,clean
1,30,1,1.48,1,2.49,501931,Y2,,,0,15.520,clean
1,31,1,1.40,1,2.38,152618,Y2,,,0,15.769,clean
1,32,1,3.15,1,2.47,15914,Y4,0.00/noise-like,0.00/noise-like,0,15.375,hump-note
1,33,1,1.68,1,2.29,743866,Y4,,,0,14.621,clean
1,34,1,1.60,1,2.22,1426578,Y4,,,0,13.893,clean
1,35,1,1.79,1,2.34,808328,Y2,,,0,14.014,clean
1,36,1,1.71,1,2.46,1276910,Y2,,,0,14.377,clean
1,37,1,1.58,1,2.40,177205,Y2,,,0,14.317,clean
1,38,1,1.63,1,2.66,1283079,Y2,,,0,13.914,clean
1,39,1,1.86,1,2.38,151813,Y4,,,0,13.482,clean
1,40,1,1.96,1,2.32,914454,Y4,,,0,13.100,clean
1,41,1,1.82,1,2.34,1356483,Y4,,,0,13.033,clean
1,42,1,1.47,1,2.50,1008421,Y4,,,0,13.299,clean
1,43,1,2.04,1,2.42,789374,Y2,,,0,13.634,clean
1,44,1,1.46,1,2.51,970781,Y4,,,0,13.362,clean
1,45,1,2.01,1,2.43,322312,Y4,,,0,12.847,clean
1,46,1,2.06,1,2.57,992417,Y2,,,0,12.559,clean
1,47,1,1.90,1,2.49,528395,Y2,,,0,12.756,clean
1,48,1,2.51,1,2.32,1391709,Y2,0.00/noise-like,0.00/noise-like,0,12.919,hump-note
1,49,1,1.83,1,2.34,826746,Y4,,,0,12.709,clean
1,50,1,1.96,1,2.42,45329,Y2,,,0,12.172,clean
1,51,1,1.94,1,2.44,1234263,Y4,,,0,11.217,clean
1,52,1,2.06,1,2.43,785261,Y4,,,0,10.161,clean
1,53,1,2.13,1,2.34,694245,Y2,,,0,9.606,clean
1,54,1,2.23,1,2.41,76085,Y2,,,0,9.435,clean
1,55,1,2.47,1,2.42,1013786,Y4,,,0,9.026,clean
1,56,1,2.80,1,2.31,557005,Y4,0.24/noise-like,0.00/noise-like,0,8.088,hump-note
1,57,1,0,-1,0,0,-,,,0,6.824,QUARANTINE:dark-lane range=60 distinct=58
1,58,1,0,-1,0,0,-,,,0,5.605,QUARANTINE:dark-lane range=52 distinct=48
1,59,1,0,-1,0,0,-,,,0,4.635,QUARANTINE:dark-lane range=45 distinct=41
1,60,1,0,-1,0,0,-,,,0,3.879,QUARANTINE:dark-lane range=35 distinct=35
1,61,1,0,-1,0,0,-,,,0,3.342,QUARANTINE:dark-lane range=29 distinct=30
1,62,1,0,-1,0,0,-,,,0,2.834,QUARANTINE:dark-lane range=23 distinct=24
1,63,1,0,-1,0,0,-,,,0,2.313,QUARANTINE:dark-lane range=21 distinct=22
2,0,1,3.09,1,2.37,136793,Y2,0.24/noise-like,0.00/noise-like,0,19.287,hump-note
2,1,1,1.38,1,2.36,1040608,Y2,,,0,18.818,clean
2,2,1,1.45,1,2.40,277162,Y2,,,0,18.274,clean
2,3,1,1.33,226,2.25,91553,Y2,,,0,17.920,clean
2,4,1,1.54,1,2.45,505149,Y4,,,0,17.756,clean
2,5,1,1.45,1,2.53,1393944,Y4,,,0,17.897,clean
2,6,1,1.44,177,2.50,33259,Y4,,,0,18.231,clean
2,7,1,1.37,354,2.54,137419,Y4,,,0,18.087,clean
2,8,1,1.38,1,2.31,338763,Y2,,,0,17.428,clean
2,9,1,1.53,1,2.29,1076549,Y4,,,0,17.250,clean
2,10,1,1.48,1,2.27,193477,Y2,,,0,17.350,clean
2,11,1,1.55,1,2.51,1066715,Y4,,,0,17.384,clean
2,12,1,0,-1,0,0,-,,,31,17.373,QUARANTINE:sparkle n=31
2,13,1,1.41,1,2.39,668406,Y2,,,0,17.038,clean
2,14,1,1.62,1,2.31,1262337,Y2,,,0,16.432,clean
2,15,1,1.47,1,2.43,843912,Y4,,,0,15.993,clean
2,16,1,1.32,1,2.44,1373559,Y4,,,0,16.072,clean
2,17,1,1.64,1,2.42,1104891,Y4,,,0,16.498,clean
2,18,1,1.59,408,2.56,485212,Y4,,,0,18.133,clean
2,19,1,1.42,709,2.56,1032561,Y4,,,0,16.450,clean
2,20,1,1.49,1,2.42,177652,Y2,,,0,15.473,clean
2,21,1,1.59,1,2.60,678062,Y2,,,0,14.963,clean
2,22,1,1.59,1,2.53,424147,Y4,,,0,14.986,clean
2,23,1,1.86,1,2.37,253469,Y2,,,0,15.424,clean
2,24,1,1.61,1,2.79,545382,Y2,,,0,16.314,clean
2,25,1,1.50,1,2.38,891834,Y2,,,0,16.609,clean
2,26,1,1.41,64,2.42,365585,Y4,,,0,15.917,clean
2,27,1,1.52,659,2.41,927150,Y4,,,0,15.171,clean
2,28,1,1.80,1,2.39,48012,Y4,,,0,14.812,clean
2,29,1,1.78,1,2.66,909179,Y4,,,0,15.062,clean
2,30,1,1.71,1,2.46,789821,Y4,,,0,15.570,clean
