block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,spikes,rms,verdict
0,0,1,5.07,1,2.45,1463771,Y2,0.24/noise-like,0.24/noise-like,0,18.704,SPECTRAL-LINE
0,1,1,1.36,443,2.55,989199,Y4,,,0,18.382,clean
0,2,1,1.79,1,2.60,459373,Y4,,,0,17.777,clean
0,3,1,1.48,1,2.41,246853,Y2,,,0,17.267,clean
0,4,1,1.35,839,2.42,1113474,Y4,,,0,17.097,clean
0,5,1,1.49,1,2.49,823885,Y4,,,0,17.408,clean
0,6,1,1.42,1,3.38,1444727,Y4,0.00/noise-like,0.00/noise-like,0,17.620,FAM-HIT
0,7,1,1.54,1,2.49,620574,Y2,,,0,17.356,clean
0,8,1,1.54,1,2.25,176132,Y4,,,0,16.845,clean
0,9,1,1.53,1,2.41,668675,Y4,,,0,16.731,clean
0,10,1,1.55,1,2.60,291824,Y4,,,0,16.720,clean
0,11,1,1.39,1,2.52,951111,Y4,,,0,16.728,clean
0,12,1,1.61,1,2.55,260442,Y2,,,0,16.808,clean
0,13,1,1.43,1,2.55,863582,Y4,,,1,16.448,clean
0,14,1,1.56,1,2.44,575960,Y4,,,0,15.778,clean
0,15,1,1.34,621,2.53,1196980,Y4,,,0,15.379,clean
0,16,1,1.39,1104,2.52,811458,Y2,,,0,15.522,clean
0,17,1,1.80,1,2.29,570506,Y4,,,0,15.887,clean
0,18,1,1.71,216,2.46,148326,Y4,,,0,17.521,clean
0,19,1,1.53,1,2.64,310242,Y4,,,0,15.786,clean
0,20,1,1.55,1,2.32,20027,Y2,,,0,14.933,clean
0,21,1,1.63,1,2.63,1295775,Y4,,,0,14.349,clean
0,22,1,1.61,1,2.41,702828,Y4,,,0,14.252,clean
0,23,1,1.44,1,2.47,330269,Y2,,,0,14.854,clean
0,24,1,1.52,1,2.68,239432,Y4,,,0,15.715,clean
0,25,1,1.63,1,2.66,1263678,Y4,,,0,15.905,clean
0,26,1,1.41,1140,2.37,1430690,Y2,,,0,15.250,clean
0,27,1,1.85,1,2.39,179529,Y2,,,0,14.738,clean
0,28,1,1.70,1,2.59,995189,Y2,,,0,14.400,clean
0,29,1,1.51,1,2.40,360399,Y4,,,0,14.521,clean
0,30,1,1.64,1,2.36,542790,Y2,,,0,15.064,clean
0,31,1,1.80,1,2.34,1014322,Y2,,,0,15.475,clean
0,32,1,1.32,1228,2.38,493526,Y4,,,0,15.022,clean
0,33,1,1.67,1,2.32,523031,Y2,,,0,14.063,clean
0,34,1,1.78,1,2.23,561029,Y4,,,0,13.538,clean
0,35,1,1.67,1,2.61,79036,Y4,,,0,13.652,clean
0,36,1,1.74,1,2.28,852853,Y2,,,0,13.826,clean
0,37,1,1.74,1,2.44,1075208,Y4,,,0,13.805,clean
0,38,1,1.75,1,2.41,1161665,Y2,,,0,13.599,clean
0,39,1,1.88,1,2.42,311673,Y4,,,0,13.118,clean
0,40,1,1.83,1,2.59,1454026,Y2,,,0,12.650,clean
0,41,1,1.72,1,2.52,1028001,Y2,,,0,12.650,clean
0,42,1,1.86,1,2.50,635594,Y2,,,0,13.015,clean
0,43,1,1.57,1,2.34,781953,Y2,,,0,13.239,clean
0,44,1,2.14,1,2.53,27269,Y2,,,0,12.898,clean
0,45,1,1.74,1,2.34,636935,Y2,,,0,12.374,clean
0,46,1,1.96,1,2.45,359327,Y2,,,0,12.175,clean
0,47,1,1.71,1,2.50,1101941,Y4,,,0,12.294,clean
0,48,1,4.59,1,2.38,95129,Y4,0.00/noise-like,0.00/noise-like,0,12.402,hump-note
0,49,1,2.19,1,2.36,113279,Y2,,,0,12.331,clean
0,50,1,1.64,1,2.30,38534,Y4,,,0,11.848,clean
0,51,1,2.27,1,2.47,1294792,Y4,,,0,10.772,clean
0,52,1,2.52,1,2.32,609308,Y4,0.00/noise-like,0.00/noise-like,0,9.790,hump-note
0,53,1,2.42,1,2.35,221998,Y2,,,0,9.373,clean
0,54,1,2.66,1,2.41,1187414,Y4,0.00/noise-like,0.00/noise-like,0,9.157,hump-note
0,55,1,2.85,1,2.47,315160,Y2,0.24/noise-like,0.00/noise-like,0,8.684,hump-note
0,56,1,3.15,1,2.21,102818,Y4,0.24/noise-like,0.00/noise-like,0,7.858,hump-note
0,57,1,0,-1,0,0,-,,,0,6.667,QUARANTINE:dark-lane range=57 distinct=57
0,58,1,0,-1,0,0,-,,,0,5.427,QUARANTINE:dark-lane range=47 distinct=48
0,59,1,0,-1,0,0,-,,,0,4.469,QUARANTINE:dark-lane range=38 distinct=39
0,60,1,0,-1,0,0,-,,,0,3.747,QUARANTINE:dark-lane range=35 distinct=35
