target,block,chan,persist,multichan
KEPLER160,0,0,1,1
KEPLER160,0,25,1,1
KEPLER160,0,35,1,1
KEPLER160,0,57,1,1
KEPLER160,1,0,1,1
KEPLER160,1,53,1,1
KEPLER160,1,56,1,1
KEPLER160,10,0,1,1
KEPLER160,10,25,1,1
KEPLER160,10,37,1,1
KEPLER160,10,57,1,1
KEPLER160,10,7,0,1
KEPLER160,100,0,1,1
KEPLER160,101,0,1,1
KEPLER160,101,2,0,1
KEPLER160,101,41,0,1
KEPLER160,102,0,1,1
KEPLER160,102,56,1,1
KEPLER160,103,0,1,1
KEPLER160,103,55,1,1
KEPLER160,104,0,1,1
KEPLER160,104,55,1,1
KEPLER160,105,0,1,1
KEPLER160,105,13,0,1
KEPLER160,105,25,1,1
KEPLER160,105,41,0,1
KEPLER160,105,42,0,1
KEPLER160,106,0,1,1
KEPLER160,106,57,1,1
KEPLER160,107,0,1,1
KEPLER160,107,25,1,1
KEPLER160,107,37,1,1
KEPLER160,108,0,1,1
KEPLER160,108,25,1,1
KEPLER160,109,0,1,1
KEPLER160,109,21,0,1
KEPLER160,109,25,1,1
KEPLER160,109,32,0,1
KEPLER160,11,0,1,1
KEPLER160,11,25,1,1
KEPLER160,11,57,1,1
KEPLER160,11,6,0,1
KEPLER160,110,0,1,1
KEPLER160,110,25,1,1
KEPLER160,110,57,1,1
KEPLER160,111,0,1,1
KEPLER160,111,25,1,1
KEPLER160,111,41,0,1
KEPLER160,112,0,1,1
KEPLER160,112,32,0,1
KEPLER160,113,0,1,1
KEPLER160,113,25,1,1
KEPLER160,114,0,1,1
KEPLER160,114,25,1,1
KEPLER160,114,4,0,1
KEPLER160,114,57,1,1
KEPLER160,115,0,1,1
KEPLER160,115,25,1,1
KEPLER160,115,42,0,1
KEPLER160,115,57,1,1
KEPLER160,116,0,1,1
KEPLER160,116,25,1,1
KEPLER160,116,57,1,1
KEPLER160,117,0,1,1
KEPLER160,117,25,1,1
KEPLER160,117,57,1,1
KEPLER160,118,0,1,1
KEPLER160,119,0,1,1
KEPLER160,119,25,1,1
KEPLER160,119,37,1,1
KEPLER160,119,57,1,1
KEPLER160,12,0,1,1
KEPLER160,12,25,1,1
KEPLER160,12,57,1,1
KEPLER160,120,0,1,1
KEPLER160,120,25,1,1
KEPLER160,120,57,1,1
KEPLER160,121,0,1,1
KEPLER160,121,29,0,1
KEPLER160,121,40,0,1
KEPLER160,122,0,1,1
KEPLER160,123,0,1,1
KEPLER160,123,35,1,1
KEPLER160,123,49,1,1
KEPLER160,124,0,1,1
KEPLER160,124,25,1,1
KEPLER160,124,57,1,1
KEPLER160,125,0,1,1
KEPLER160,125,18,0,1
KEPLER160,126,0,1,1
KEPLER160,126,25,1,1
KEPLER160,126,27,0,1
KEPLER160,126,44,0,1
KEPLER160,127,0,1,1
KEPLER160,13,0,1,1
KEPLER160,13,36,1,1
KEPLER160,13,57,1,1
KEPLER160,14,0,1,1
KEPLER160,15,0,1,1
KEPLER160,15,6,0,1
KEPLER160,16,0,1,1
KEPLER160,16,25,1,1
KEPLER160,16,57,1,1
KEPLER160,17,0,1,1
KEPLER160,17,25,1,1
KEPLER160,17,57,1,1
KEPLER160,18,0,1,1
KEPLER160,18,14,0,1
KEPLER160,18,2,0,1
KEPLER160,18,50,0,1
KEPLER160,18,54,0,1
KEPLER160,19,0,1,1
KEPLER160,19,4,0,1
KEPLER160,19,9,0,1
KEPLER160,2,0,1,1
KEPLER160,2,56,1,1
KEPLER160,20,0,1,1
KEPLER160,20,25,1,1
KEPLER160,20,30,0,1
KEPLER160,20,38,0,1
KEPLER160,20,57,1,1
KEPLER160,21,0,1,1
KEPLER160,21,52,1,1
KEPLER160,22,0,1,1
KEPLER160,22,21,0,1
KEPLER160,22,52,1,1
KEPLER160,23,0,1,1
KEPLER160,23,20,0,1
KEPLER160,24,0,1,1
KEPLER160,24,47,0,1
KEPLER160,24,9,0,1
KEPLER160,25,0,1,1
KEPLER160,25,11,0,1
KEPLER160,25,17,0,1
KEPLER160,25,25,1,1
KEPLER160,25,57,1,1
KEPLER160,26,0,1,1
KEPLER160,27,0,1,1
KEPLER160,27,61,0,1
KEPLER160,28,0,1,1
KEPLER160,29,0,1,1
KEPLER160,29,25,1,1
KEPLER160,3,0,1,1
KEPLER160,3,57,1,1
KEPLER160,30,0,1,1
KEPLER160,31,0,1,1
KEPLER160,32,0,1,1
KEPLER160,32,16,0,1
KEPLER160,32,25,1,1
KEPLER160,33,0,1,1
KEPLER160,33,15,0,1
KEPLER160,34,0,1,1
KEPLER160,34,15,0,1
KEPLER160,34,25,1,1
KEPLER160,34,57,1,1
KEPLER160,35,0,1,1
KEPLER160,35,25,1,1
KEPLER160,35,3,0,1
KEPLER160,35,35,1,1
KEPLER160,35,48,0,1
KEPLER160,35,55,1,1
KEPLER160,35,56,1,1
KEPLER160,35,57,1,1
KEPLER160,35,58,0,1
KEPLER160,36,0,1,1
KEPLER160,36,20,0,1
KEPLER160,37,0,1,1
KEPLER160,37,15,0,1
KEPLER160,37,25,1,1
KEPLER160,37,57,1,1
KEPLER160,38,0,1,1
KEPLER160,38,25,1,1
KEPLER160,38,57,1,1
KEPLER160,39,0,1,1
KEPLER160,39,25,1,1
KEPLER160,39,53,1,1
KEPLER160,39,57,1,1
KEPLER160,4,0,1,1
KEPLER160,4,25,1,1
KEPLER160,4,57,1,1
KEPLER160,40,0,1,1
KEPLER160,41,0,1,1
KEPLER160,41,25,1,1
KEPLER160,41,52,1,1
KEPLER160,41,57,1,1
KEPLER160,42,0,1,1
KEPLER160,42,25,1,1
KEPLER160,42,28,0,1
KEPLER160,42,57,1,1
KEPLER160,43,0,1,1
KEPLER160,43,17,0,1
KEPLER160,44,0,1,1
KEPLER160,44,25,1,1
KEPLER160,44,57,1,1
KEPLER160,45,0,1,1
KEPLER160,45,25,1,1
KEPLER160,45,49,1,1
KEPLER160,45,57,1,1
KEPLER160,46,0,1,1
KEPLER160,46,16,0,1
KEPLER160,46,25,1,1
KEPLER160,46,35,1,1
KEPLER160,46,51,0,1
KEPLER160,47,0,1,1
KEPLER160,47,25,1,1
KEPLER160,47,57,1,1
KEPLER160,48,0,1,1
KEPLER160,48,12,0,1
KEPLER160,48,21,0,1
KEPLER160,48,25,1,1
KEPLER160,49,0,1,1
KEPLER160,49,25,1,1
KEPLER160,49,57,1,1
KEPLER160,5,0,1,1
KEPLER160,5,10,0,1
KEPLER160,5,25,1,1
KEPLER160,5,57,1,1
KEPLER160,50,0,1,1
KEPLER160,50,25,1,1
KEPLER160,50,26,0,1
KEPLER160,50,36,1,1
KEPLER160,50,57,1,1
KEPLER160,51,0,1,1
KEPLER160,51,25,1,1
KEPLER160,51,48,0,1
KEPLER160,51,57,1,1
KEPLER160,52,0,1,1
KEPLER160,52,13,0,1
KEPLER160,52,25,1,1
KEPLER160,52,57,1,1
KEPLER160,53,0,1,1
KEPLER160,53,16,0,1
KEPLER160,54,0,1,1
KEPLER160,55,0,1,1
KEPLER160,55,52,1,1
KEPLER160,55,54,0,1
KEPLER160,56,0,1,1
KEPLER160,56,25,1,1
KEPLER160,57,0,1,1
KEPLER160,57,25,1,1
KEPLER160,57,57,1,1
KEPLER160,58,0,1,1
KEPLER160,58,40,0,1
KEPLER160,59,0,1,1
KEPLER160,6,0,1,1
KEPLER160,6,25,1,1
KEPLER160,6,36,1,1
KEPLER160,60,0,1,1
KEPLER160,61,0,1,1
KEPLER160,62,0,1,1
KEPLER160,62,25,1,1
KEPLER160,63,0,1,1
KEPLER160,63,22,0,1
KEPLER160,64,0,1,1
KEPLER160,64,34,0,1
KEPLER160,64,6,0,1
KEPLER160,65,0,1,1
KEPLER160,65,25,1,1
KEPLER160,66,0,1,1
KEPLER160,66,25,1,1
KEPLER160,66,57,1,1
KEPLER160,67,0,1,1
KEPLER160,67,50,0,1
KEPLER160,68,0,1,1
KEPLER160,68,12,0,1
KEPLER160,68,56,1,1
KEPLER160,69,0,1,1
KEPLER160,69,1,0,1
KEPLER160,69,25,1,1
KEPLER160,69,45,0,1
KEPLER160,7,0,1,1
KEPLER160,7,25,1,1
KEPLER160,7,51,0,1
KEPLER160,7,57,1,1
KEPLER160,70,0,1,1
KEPLER160,70,25,1,1
KEPLER160,70,50,0,1
KEPLER160,71,0,1,1
KEPLER160,71,53,1,1
KEPLER160,71,9,0,1
KEPLER160,72,0,1,1
KEPLER160,72,38,0,1
KEPLER160,72,43,0,1
KEPLER160,73,0,1,1
KEPLER160,73,26,0,1
KEPLER160,73,58,0,1
KEPLER160,74,0,1,1
KEPLER160,74,41,0,1
KEPLER160,75,0,1,1
KEPLER160,75,17,0,1
KEPLER160,75,30,0,1
KEPLER160,75,39,0,1
KEPLER160,76,0,1,1
KEPLER160,76,25,1,1
KEPLER160,76,27,0,1
KEPLER160,77,0,1,1
KEPLER160,77,23,0,1
KEPLER160,77,25,1,1
KEPLER160,77,8,0,1
KEPLER160,78,0,1,1
KEPLER160,78,35,1,1
KEPLER160,78,53,1,1
KEPLER160,78,8,0,1
KEPLER160,79,0,1,1
KEPLER160,79,25,1,1
KEPLER160,79,54,0,1
KEPLER160,8,0,1,1
KEPLER160,8,25,1,1
KEPLER160,8,57,1,1
KEPLER160,80,0,1,1
KEPLER160,80,25,1,1
KEPLER160,81,0,1,1
KEPLER160,81,25,1,1
KEPLER160,81,55,1,1
KEPLER160,82,0,1,1
KEPLER160,83,0,1,1
KEPLER160,84,0,1,1
KEPLER160,84,25,1,1
KEPLER160,84,36,1,1
KEPLER160,85,0,1,1
KEPLER160,85,2,0,1
KEPLER160,85,25,1,1
KEPLER160,85,37,1,1
KEPLER160,85,48,0,1
KEPLER160,86,0,1,1
KEPLER160,86,19,0,1
KEPLER160,86,25,1,1
KEPLER160,86,46,0,1
KEPLER160,86,5,0,1
KEPLER160,87,0,1,1
KEPLER160,87,25,1,1
KEPLER160,88,0,1,1
KEPLER160,88,25,1,1
KEPLER160,88,45,0,1
KEPLER160,88,49,1,1
KEPLER160,88,52,1,1
KEPLER160,89,0,1,1
KEPLER160,89,25,1,1
KEPLER160,89,27,0,1
KEPLER160,89,52,1,1
KEPLER160,9,0,1,1
KEPLER160,9,16,0,1
KEPLER160,9,25,1,1
KEPLER160,9,47,0,1
KEPLER160,9,57,1,1
