block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,spikes,rms,verdict
0,0,2,34.71,1,2.31,582933,Y4,0.24/noise-like,0.24/noise-like,0,19.675,SPECTRAL-LINE
0,1,2,1.35,485,2.77,161558,Y4,,,0,19.591,clean
0,2,2,1.38,1370,2.44,1125544,Y2,,,0,19.558,clean
0,3,2,1.57,1,2.40,1172841,Y4,,,0,19.682,clean
0,4,2,1.41,1,2.39,537515,Y4,,,0,19.791,clean
0,5,2,1.56,477,2.71,482619,Y2,,,0,19.594,clean
0,6,2,1.62,1478,2.27,557095,Y4,,,0,19.308,clean
0,7,2,1.30,692,2.57,547886,Y4,,,1,19.054,clean
0,8,2,1.43,525,2.33,1071185,Y2,,,0,18.831,clean
0,9,2,1.37,1,2.60,321150,Y4,,,0,18.454,clean
0,10,2,1.41,1,2.42,279576,Y2,,,0,18.094,clean
0,11,2,1.45,1,2.63,61065,Y4,,,0,17.696,clean
0,12,2,1.62,1,2.69,11176,Y2,,,0,17.205,clean
0,13,2,1.40,472,2.35,376850,Y2,,,0,16.767,clean
0,14,2,1.40,1,2.42,41574,Y2,,,0,16.469,clean
0,15,2,1.43,1,2.33,292361,Y4,,,0,16.269,clean
0,16,2,1.75,1,2.48,1300335,Y4,,,0,16.331,clean
0,17,2,1.42,1,2.44,538230,Y4,,,0,16.491,clean
0,18,2,1.52,748,2.40,441134,Y2,,,0,17.731,clean
0,19,2,1.80,1,2.50,682265,Y2,,,0,16.430,clean
0,20,2,1.77,1,2.50,919104,Y2,,,0,16.093,clean
0,21,2,1.60,1,2.34,1061708,Y2,,,0,15.961,clean
0,22,2,1.59,1,2.49,303090,Y2,,,0,15.948,clean
0,23,2,1.69,1,2.41,164330,Y4,,,0,15.980,clean
0,24,2,1.65,1,2.31,248462,Y4,,,0,15.844,clean
0,25,2,1.82,1,5.95,1073,Y4,0.24/noise-like,0.00/noise-like,8,15.451,FAM-HIT
0,26,2,1.59,1,2.39,961751,Y2,,,0,15.039,clean
0,27,2,1.75,1,2.42,770062,Y4,,,0,14.995,clean
0,28,2,1.50,1,2.41,28968,Y2,,,0,14.566,clean
0,29,2,1.55,1,2.38,98437,Y2,,,0,14.409,clean
0,30,2,1.55,1,2.42,1439989,Y4,,,0,14.150,clean
0,31,2,1.74,1,2.41,205636,Y4,,,0,13.930,clean
0,32,2,1.40,605,2.56,881106,Y2,,,0,13.659,clean
0,33,2,1.66,1,2.32,70006,Y2,,,0,13.513,clean
0,34,2,1.62,1,2.37,438988,Y2,,,0,13.533,clean
0,35,2,1.66,1,2.27,753254,Y4,,,0,13.590,clean
0,36,2,1.66,1,2.38,368983,Y2,,,0,13.680,clean
0,37,2,1.76,1,2.32,1114190,Y2,,,0,13.630,clean
0,38,2,1.56,1,2.49,61065,Y4,,,0,13.523,clean
0,39,2,1.76,1,2.33,127316,Y4,,,0,13.500,clean
0,40,2,1.76,1,2.44,352174,Y4,,,0,13.411,clean
0,41,2,1.93,1,2.40,1443297,Y4,,,0,13.416,clean
0,42,2,1.77,1,2.50,509173,Y2,,,0,13.403,clean
0,43,2,2.00,1,2.28,1241237,Y2,,,0,13.332,clean
0,44,2,2.03,1,2.42,1428008,Y4,,,0,13.116,clean
0,45,2,1.78,1,2.57,1038998,Y4,,,0,12.974,clean
0,46,2,1.82,1,2.32,416458,Y4,,,0,12.779,clean
0,47,2,1.72,1,2.40,807256,Y4,,,0,12.526,clean
0,48,2,2.19,1,2.47,273854,Y2,,,0,12.157,clean
0,49,2,1.94,1,2.62,88423,Y4,,,0,11.768,clean
0,50,2,2.25,1,2.29,1155138,Y2,,,0,11.444,clean
0,51,2,2.02,1,2.27,293791,Y2,,,0,11.136,clean
0,52,2,2.15,1,2.65,356376,Y2,,,0,10.874,clean
0,53,2,2.34,1,2.36,1462787,Y2,,,0,10.658,clean
0,54,2,2.14,1,2.33,980258,Y4,,,0,10.319,clean
0,55,2,2.25,1,2.35,471711,Y4,,,0,9.846,clean
