block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,spikes,rms,verdict,comb,comb_f0,comb_score,frame,nongauss
0,0,2,33.40,1,2.26,291020,Y4,0.00/noise-like,0.00/noise-like,0,19.711,SPECTRAL-LINE,0,0,0.00,0,0
0,1,2,1.37,1,2.48,314981,Y2,,,0,19.578,clean,0,0,0.00,0,0
0,2,2,1.47,1,2.46,1255006,Y2,,,0,19.548,clean,0,0,0.00,0,0
0,3,2,1.31,639,2.32,1148790,Y4,,,0,19.625,clean,0,0,0.00,0,0
0,4,2,1.41,1,2.26,1209140,Y2,,,0,19.750,clean,0,0,0.00,0,0
0,5,2,1.66,1,2.21,547975,Y4,,,0,19.541,clean,0,0,0.00,0,0
0,6,2,1.38,1476,2.29,177741,Y4,,,0,19.275,clean,0,0,0.00,0,0
0,7,2,1.36,1236,2.50,1045972,Y2,,,0,19.090,clean,0,0,0.00,0,0
0,8,2,1.53,1,2.56,1326978,Y4,,,0,18.814,clean,0,0,0.00,0,0
0,9,2,1.57,1,2.59,1431763,Y4,,,0,18.421,clean,0,0,0.00,0,0
0,10,2,1.37,1593,2.41,171751,Y2,,,0,18.048,clean,0,0,0.00,0,0
0,11,2,1.68,1,2.25,258833,Y4,,,0,17.682,clean,0,0,0.00,0,0
0,12,2,1.52,1,2.48,372022,Y2,,,0,17.190,clean,0,0,0.00,0,0
0,13,2,1.47,1,2.41,340015,Y2,,,0,16.738,clean,0,0,0.00,0,0
0,14,2,1.62,1,2.45,350565,Y4,,,0,16.439,clean,0,0,0.00,0,0
0,15,2,1.59,1,2.56,859827,Y4,,,0,16.252,clean,0,0,0.00,0,0
0,16,2,1.98,1,2.51,1275748,Y2,,,0,16.266,clean,0,0,0.00,0,0
0,17,2,1.39,1,2.46,8315,Y2,,,0,16.463,clean,0,0,0.00,0,0
0,18,2,1.51,754,2.50,637740,Y4,,,0,17.760,clean,0,0,0.00,0,0
0,19,2,1.56,1,2.36,866085,Y2,,,0,16.387,clean,0,0,0.00,0,0
0,20,2,1.72,1,2.40,416726,Y4,,,0,16.064,clean,0,0,0.00,0,0
0,21,2,1.46,1,2.33,68039,Y2,,,0,15.955,clean,0,0,0.00,0,0
0,22,2,1.81,1,2.38,625223,Y2,,,0,15.929,clean,0,0,0.00,0,0
0,23,2,1.58,1,2.45,1250625,Y4,,,0,15.913,clean,0,0,0.00,0,0
0,24,2,1.55,1,2.53,1145303,Y4,,,0,15.830,clean,0,0,0.00,0,0
0,25,2,1.71,1,2.44,956029,Y4,,,0,15.420,clean,0,0,0.00,0,0
0,26,2,1.36,1,2.25,1092374,Y4,,,0,14.968,clean,0,0,0.00,0,0
0,27,2,1.86,1,2.50,173897,Y4,,,0,14.971,clean,0,0,0.00,0,0
0,28,2,1.57,1,2.35,1207530,Y4,,,0,14.601,clean,0,0,0.00,0,0
0,29,2,1.94,1,2.42,380158,Y2,,,0,14.393,clean,0,0,0.00,0,0
0,30,2,1.65,1,2.42,1145393,Y4,,,0,14.153,clean,0,0,0.00,0,0
0,31,2,1.74,1,2.47,486284,Y2,,,0,13.899,clean,0,0,0.00,0,0
0,32,2,1.33,1552,2.55,1433462,Y2,,,0,13.629,clean,0,0,0.00,0,0
0,33,2,1.73,1,2.27,1270294,Y4,,,0,13.494,clean,0,0,0.00,0,0
0,34,2,1.76,1,2.28,1050800,Y4,,,0,13.525,clean,0,0,0.00,0,0
0,35,2,1.81,1,2.34,1463592,Y4,,,0,13.566,clean,0,0,0.00,0,0
0,36,2,1.55,1,2.39,1407892,Y2,,,0,13.643,clean,0,0,0.00,0,0
0,37,2,1.65,1,2.38,35226,Y2,,,0,13.629,clean,0,0,0.00,0,0
0,38,2,1.68,1,2.45,465274,Y2,,,0,13.499,clean,0,0,0.00,0,0
0,39,2,1.73,1,2.51,453562,Y2,,,0,13.460,clean,0,0,0.00,0,0
0,40,2,1.77,1,2.41,1013070,Y4,,,0,13.412,clean,0,0,0.00,0,0
0,41,2,1.87,1,2.33,153333,Y2,,,0,13.405,clean,0,0,0.00,0,0
0,42,2,1.82,1,2.31,48012,Y2,,,0,13.407,clean,0,0,0.00,0,0
0,43,2,1.91,1,2.53,1001179,Y4,,,0,13.306,clean,0,0,0.00,0,0
0,44,2,1.58,1,2.49,526160,Y4,,,0,13.107,clean,0,0,0.00,0,0
0,45,2,1.63,1,2.30,637382,Y2,,,0,12.904,clean,0,0,0.00,0,0
0,46,2,1.79,1,2.45,1432568,Y2,,,0,12.762,clean,0,0,0.00,0,0
0,47,2,1.70,1,2.65,255525,Y4,,,0,12.530,clean,0,0,0.00,0,0
0,48,2,2.17,1,2.41,608772,Y4,,,0,12.145,clean,0,0,0.00,0,0
0,49,2,1.91,1,2.35,43720,Y2,,,0,11.740,clean,0,0,0.00,0,0
0,50,2,1.88,1,2.43,20832,Y4,,,0,11.418,clean,0,0,0.00,0,0
0,51,2,2.33,1,2.42,16361,Y4,,,0,11.109,clean,0,0,0.00,0,0
0,52,2,2.22,1,2.32,910342,Y4,,,0,10.859,clean,0,0,0.00,0,0
0,53,2,2.45,1,2.42,577480,Y2,,,0,10.658,clean,0,0,0.00,0,0
0,54,2,2.36,1,2.39,1141548,Y4,,,0,10.326,clean,0,0,0.00,0,0
0,55,2,2.45,1,2.37,439167,Y4,,,0,9.821,clean,0,0,0.00,0,0
0,56,2,2.45,1,2.59,240952,Y4,,,0,9.203,clean,0,0,0.00,0,0
0,57,2,3.10,1,2.36,1231939,Y2,0.24/noise-like,0.24/noise-like,0,8.486,hump-note,0,0,0.00,0,0
0,58,2,3.08,1,2.33,721782,Y2,0.00/noise-like,0.00/noise-like,0,7.932,hump-note,0,0,0.00,0,0
0,59,2,0,-1,0,0,-,,,0,7.263,QUARANTINE:dark-lane range=65 distinct=62,0,0,0.00,0,0
0,60,2,0,-1,0,0,-,,,0,6.423,QUARANTINE:dark-lane range=57 distinct=57,0,0,0.00,0,0
0,61,2,0,-1,0,0,-,,,0,5.572,QUARANTINE:dark-lane range=51 distinct=47,0,0,0.00,0,0
0,62,2,0,-1,0,0,-,,,0,4.684,QUARANTINE:dark-lane range=42 distinct=42,0,0,0.00,0,0
0,63,2,0,-1,0,0,-,,,0,3.933,QUARANTINE:dark-lane range=35 distinct=35,0,0,0.00,0,0
1,0,2,33.00,1,2.47,1382232,Y4,0.42/WATCH,0.00/noise-like,0,19.720,SPECTRAL-LINE,0,0,0.00,0,0
1,1,2,1.55,1,2.45,724107,Y4,,,0,19.580,clean,0,0,0.00,0,0
1,2,2,1.52,1037,2.43,980616,Y2,,,0,19.546,clean,0,0,0.00,0,0
1,3,2,1.33,813,2.55,817627,Y4,,,0,19.685,clean,0,0,0.00,0,0
1,4,2,1.48,1,2.24,80287,Y4,,,0,19.734,clean,0,0,0.00,0,0
1,5,2,1.34,166,2.34,612170,Y2,,,0,19.520,clean,0,0,0.00,0,0
1,6,2,1.57,1476,2.25,1071990,Y2,,,0,19.302,clean,0,0,0.00,0,0
1,7,2,1.32,212,2.38,250340,Y4,,,0,19.106,clean,0,0,0.00,0,0
1,8,2,1.35,1,2.47,535637,Y2,,,0,18.800,clean,0,0,0.00,0,0
1,9,2,1.35,1463,2.54,917315,Y2,,,0,18.423,clean,0,0,0.00,0,0
1,10,2,1.52,1,2.65,192672,Y2,,,0,18.074,clean,0,0,0.00,0,0
1,11,2,1.54,1,2.97,40591,Y2,,,0,17.660,clean,0,0,0.00,0,0
1,12,2,1.41,1,2.42,59456,Y2,,,0,17.238,clean,0,0,0.00,0,0
1,13,2,1.59,1,2.40,534832,Y4,,,0,16.770,clean,0,0,0.00,0,0
1,14,2,1.61,1,2.37,1160234,Y4,,,0,16.406,clean,0,0,0.00,0,0
1,15,2,1.55,1,2.45,1335382,Y4,,,0,16.243,clean,0,0,0.00,0,0
1,16,2,1.91,1,2.38,1074761,Y2,,,0,16.274,clean,0,0,0.00,0,0
1,17,2,1.73,1,2.73,143230,Y2,,,0,16.476,clean,0,0,0.00,0,0
