block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,verdict
0,0,0,6.79,1,2.47,662059,Y4,0.00/noise-like,0.00/noise-like,SPECTRAL-LINE
0,1,0,1.51,1,2.36,604212,Y2,,,clean
0,2,0,1.48,1,156.28,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,3,0,1.58,1,91.07,732422,Y2,0.24/noise-like,0.24/noise-like,FAM-HIT
0,4,0,1.64,1,69.40,732422,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,5,0,1.49,1,78.27,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,6,0,1.39,1,153.82,732422,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,7,0,1.39,1,204.52,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,8,0,1.57,1,148.91,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,9,0,1.51,1,155.27,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,10,0,1.48,1,203.22,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,11,0,1.59,1,214.21,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,12,0,1.46,1,226.51,732422,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,13,0,1.37,1010,2.58,608414,Y4,,,clean
0,14,0,1.51,1,2.44,138402,Y2,,,clean
0,15,0,1.50,1,245.54,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,16,0,1.44,232,2.75,359148,Y4,,,clean
0,17,0,1.37,444,2.48,938952,Y2,,,clean
0,18,0,1.65,352,2.45,921071,Y2,,,clean
0,19,0,1.60,1,2.47,632018,Y4,,,clean
0,20,0,1.50,1,135.76,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,21,0,1.71,1,108.93,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,22,0,1.64,1,119.40,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,23,0,1.73,1,172.00,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,24,0,1.44,1,2.27,212878,Y2,,,clean
