block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,verdict
0,0,0,10.04,1024,237.26,732422,Y2,0.42/WATCH,0.42/WATCH,SPECTRAL-LINE
0,1,0,1.59,1,257.59,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,2,0,1.42,1,171.98,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,3,0,1.48,1,77.85,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,4,0,1.53,1,55.39,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,5,0,1.73,1,93.91,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,6,0,1.38,1760,146.75,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,7,0,1.49,1,169.62,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,8,0,1.73,1,148.63,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,9,0,1.55,1,171.00,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,10,0,1.79,1,175.58,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,11,0,1.38,1,188.07,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,12,0,1.56,1,247.13,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,13,0,1.63,1,271.92,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,14,0,1.73,1,236.20,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,15,0,1.76,1,230.13,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,16,0,1.36,1074,283.86,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,17,0,1.93,1,332.81,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,18,0,2.06,892,366.66,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,19,0,1.63,1,222.26,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,20,0,1.70,1,131.83,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
