block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,verdict
0,0,0,5.37,1,2.52,315249,Y4,0.24/noise-like,0.00/noise-like,SPECTRAL-LINE
0,8,0,1.73,1,148.63,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,16,0,1.29,1,2.46,177473,Y2,,,clean
0,24,0,1.64,1,2.66,137866,Y2,,,clean
0,32,0,3.06,1,2.28,622630,Y2,0.24/noise-like,0.00/noise-like,hump-note
0,40,0,2.11,1,65.72,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
0,48,0,2.52,1,2.40,1224250,Y4,0.00/noise-like,0.24/noise-like,hump-note
0,56,0,3.30,1,3.09,732422,Y2,0.42/WATCH,0.42/WATCH,FAM-HIT
1,0,0,5.11,1,2.36,1013249,Y2,0.00/noise-like,0.00/noise-like,SPECTRAL-LINE
1,8,0,1.45,1,157.36,732422,Y2,0.24/noise-like,0.24/noise-like,FAM-HIT
1,16,0,1.41,1,2.33,813961,Y2,,,clean
1,24,0,1.38,1,2.27,93162,Y4,,,clean
1,32,0,3.08,1,2.48,35852,Y4,0.00/noise-like,0.24/noise-like,hump-note
1,40,0,1.88,1,66.23,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
1,48,0,2.67,1,201.06,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
1,56,0,2.92,1,3.76,732422,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
2,0,0,4.54,1,2.42,834703,Y4,0.24/noise-like,0.00/noise-like,hump-note
2,8,0,1.36,1328,153.40,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
2,16,0,1.35,1304,2.40,876456,Y2,,,clean
2,24,0,1.56,1,2.49,1238823,Y4,,,clean
2,32,0,3.34,1,2.33,162274,Y4,0.00/noise-like,0.00/noise-like,hump-note
2,40,0,2.12,1,67.40,732422,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
2,48,0,2.69,1,212.78,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
2,56,0,2.87,1,4.63,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
3,0,0,4.78,1,2.38,433981,Y4,0.24/noise-like,0.24/noise-like,hump-note
3,8,0,1.44,1,150.10,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
3,16,0,1.55,1,2.49,157267,Y2,,,clean
3,24,0,1.47,1,276.97,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
3,32,0,3.07,1,2.37,1048028,Y2,0.00/noise-like,0.00/noise-like,hump-note
3,40,0,2.14,1,63.09,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
3,48,0,2.56,1,191.90,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
3,56,0,3.29,1,4.49,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
4,0,0,4.69,1,2.37,1122504,Y4,0.00/noise-like,0.00/noise-like,hump-note
4,8,0,1.60,1,153.16,732422,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
4,16,0,1.38,1,2.48,1150578,Y2,,,clean
4,24,0,1.89,1,2.38,551105,Y2,,,clean
4,32,0,2.94,1,2.45,88871,Y4,0.00/noise-like,0.00/noise-like,hump-note
4,40,0,2.01,1,72.71,732422,Y2,0.24/noise-like,0.24/noise-like,FAM-HIT
4,48,0,2.57,1,199.16,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
4,56,0,3.25,1,5.89,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
5,0,0,10.23,1024,237.93,732422,Y2,0.00/noise-like,0.00/noise-like,SPECTRAL-LINE
5,8,0,1.69,1,156.24,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
5,16,0,1.45,1,2.28,690043,Y4,,,clean
5,24,0,1.75,1,2.42,327587,Y4,,,clean
5,32,0,3.27,1,2.50,60439,Y2,0.00/noise-like,0.00/noise-like,hump-note
5,40,0,1.78,1,66.72,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
5,48,0,2.30,1,198.22,732422,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
5,56,0,3.31,1,4.87,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
6,0,0,4.97,1,2.36,627637,Y4,0.24/noise-like,0.00/noise-like,hump-note
6,8,0,1.43,1,160.60,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
6,16,0,1.43,1302,2.38,939310,Y2,,,clean
6,24,0,1.64,1,2.28,2503,Y4,,,clean
6,32,0,2.97,1,2.42,261873,Y2,0.00/noise-like,0.00/noise-like,hump-note
6,40,0,1.78,1,75.08,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
6,48,0,2.48,1,202.33,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
6,56,0,3.43,1,5.06,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
