block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,verdict
0,0,0,1.84,1,5.95,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,1,0,1.96,1,5.28,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,2,0,1.82,1,4.88,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,3,0,1.93,1,6.41,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,4,0,2.01,1,6.40,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,5,0,2.01,1,4.27,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,6,0,1.97,1,5.67,179,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,7,0,1.79,1,4.24,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,8,0,2.01,1,4.16,179,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,9,0,1.70,1,6.23,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,10,0,1.97,1,6.31,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,11,0,1.89,1,5.77,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,12,0,1.96,1,4.62,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,13,0,2.00,1,4.26,179,Y2,0.24/noise-like,0.24/noise-like,FAM-HIT
0,14,0,2.10,1,4.65,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,15,0,1.85,1,4.96,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,16,0,1.88,1,5.41,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,17,0,1.57,1,4.88,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,18,0,1.72,1,4.85,268,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,19,0,1.77,1,5.47,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,20,0,1.65,1,5.11,179,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,21,0,1.64,1,4.25,268,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,22,0,1.64,1,5.28,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,23,0,1.69,1,4.61,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,24,0,2.30,1,5.43,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,25,0,1.78,1,5.97,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,26,0,2.02,1,4.65,268,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,27,0,2.10,1,4.15,179,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,28,0,2.13,1,4.30,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,29,0,1.90,1,5.93,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,30,0,1.84,1,5.43,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,31,0,1.61,1,4.56,179,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,32,0,1.78,1,4.75,179,Y4,0.00/noise-like,0.00/noise-like,FAM-HIT
0,33,0,2.13,1,4.75,268,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,34,0,1.68,1,5.71,268,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,35,0,1.86,1,4.16,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,36,0,1.99,1,5.97,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,37,0,2.01,1,4.21,179,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,38,0,1.73,1,5.98,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,39,0,1.69,1,5.81,179,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,40,0,1.90,1,6.05,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,41,0,1.52,1924,4.33,268,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,42,0,1.88,1,3.80,1434624,Y4,0.00/noise-like,0.00/noise-like,FAM-HIT
0,43,0,1.89,1,5.86,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,44,0,1.97,1,4.41,248462,Y4,0.00/noise-like,0.00/noise-like,FAM-HIT
0,45,0,1.58,1,5.75,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,46,0,1.89,1,5.10,179,Y2,0.24/noise-like,0.24/noise-like,FAM-HIT
0,47,0,1.89,1,4.42,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,48,0,1.77,1,5.44,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,49,0,1.96,1,4.70,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,50,0,2.07,1,4.79,268,Y2,0.24/noise-like,0.24/noise-like,FAM-HIT
0,51,0,2.33,1,5.72,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,52,0,1.81,1,6.33,179,Y4,0.00/noise-like,0.24/noise-like,FAM-HIT
0,53,0,2.04,1,4.73,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,54,0,2.14,1,4.08,268,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,55,0,1.83,1,5.22,179,Y2,0.24/noise-like,0.24/noise-like,FAM-HIT
0,56,0,1.73,1,4.51,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,57,0,1.85,1,4.20,308812,Y4,0.00/noise-like,0.00/noise-like,FAM-HIT
0,58,0,1.95,1,4.36,268,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,59,0,1.88,1,3.91,268,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,60,0,1.74,1,4.60,326961,Y4,0.24/noise-like,0.00/noise-like,FAM-HIT
0,61,0,1.71,1,4.49,119358,Y4,0.24/noise-like,0.00/noise-like,FAM-HIT
0,62,0,1.68,1,4.70,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,63,0,1.55,1,4.42,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,0,0,2.17,1,4.95,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
1,1,0,1.87,1,5.39,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,2,0,2.06,1,5.31,179,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
1,3,0,1.53,1,5.01,179,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
1,4,0,1.89,1,4.55,968367,Y4,0.00/noise-like,0.24/noise-like,FAM-HIT
1,5,0,1.54,1,5.60,179,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
