block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,verdict
0,0,0,494.78,1,12.95,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,1,0,491.86,1,12.11,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,2,0,491.17,1,12.47,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,3,0,493.05,1,12.50,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,4,0,497.86,1,10.16,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,5,0,495.70,1,10.91,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,6,0,496.65,1,11.06,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,7,0,496.11,1,11.37,268,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,8,0,491.45,1,11.36,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,9,0,499.07,1,11.35,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,10,0,487.81,1,11.19,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,11,0,498.49,1,12.23,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,12,0,498.06,1,13.12,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,13,0,493.23,1,12.88,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,14,0,496.68,1,12.12,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,15,0,493.52,1,10.53,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,16,0,499.30,1,12.13,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,17,0,490.68,1,11.48,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,18,0,494.26,1,10.83,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,19,0,500.55,1,12.40,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,20,0,498.94,1,13.43,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,21,0,498.07,1,12.82,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,22,0,493.95,1,14.68,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,23,0,497.04,1,11.46,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,24,0,490.25,1,11.97,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,25,0,496.36,1,13.01,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,26,0,494.79,1,12.75,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,27,0,494.33,1,10.14,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,28,0,493.81,1,11.59,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,29,0,495.97,1,11.22,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,30,0,495.90,1,12.26,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,31,0,497.12,1,14.04,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,32,0,492.16,1,11.99,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,33,0,495.91,1,12.90,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,34,0,493.42,1,12.74,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,35,0,492.85,1,11.45,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,36,0,492.90,1,11.49,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,37,0,492.28,1,13.22,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,38,0,498.72,1,12.80,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,39,0,497.62,1,13.00,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,40,0,495.48,1,11.78,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,41,0,491.92,1,11.52,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,42,0,494.78,1,12.04,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,43,0,496.82,1,10.79,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,44,0,492.71,1,12.17,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,45,0,489.13,1,11.94,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,46,0,500.27,1,12.88,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,47,0,498.00,1,13.02,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,48,0,494.69,1,11.36,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,49,0,495.60,1,14.97,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,50,0,493.83,1,12.96,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,51,0,494.40,1,12.19,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,52,0,493.83,1,12.32,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,53,0,490.94,1,10.51,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,54,0,495.23,1,13.99,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,55,0,491.03,1,11.72,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,56,0,489.72,1,11.34,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,57,0,496.43,1,12.58,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,58,0,496.15,1,11.50,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,59,0,499.83,1,12.14,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,60,0,488.15,1,12.67,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,61,0,492.03,1,14.69,179,Y2,0.00/?,0.00/noise-like,SPECTRAL-LINE
0,62,0,497.92,1,14.44,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
0,63,0,493.27,1,10.75,179,Y2,0.00/?,0.24/noise-like,SPECTRAL-LINE
