tag,pol,chan,rowmax_z,score,pf,v_hz_s,a_hz_s2,curve_gain_db,seconds
on,0,0,6.00,3.976,,+37.4,-1.56,0.0,
on,0,1,6.00,5.984,,+0.4,-0.03,0.0,
on,0,2,6.00,5.995,,+0.4,-0.04,0.0,
on,0,3,6.00,5.995,,-0.2,+0.01,0.0,
on,0,4,6.00,5.995,,+0.2,-0.02,0.0,
on,0,5,6.00,5.995,,+0.0,+0.01,0.0,
on,0,6,6.00,5.995,,+0.1,-0.01,0.0,
on,0,7,6.00,5.999,,-0.2,+0.02,0.0,
on,0,8,6.00,5.999,,-0.0,+0.01,0.0,
on,0,9,6.00,5.998,,+0.1,-0.01,0.0,
on,0,10,6.00,5.998,,+0.1,-0.01,0.0,
on,0,11,6.00,5.999,,-0.0,+0.00,0.0,
on,0,12,6.00,5.999,,-0.2,+0.02,0.0,
on,0,13,6.00,6.000,,-0.2,+0.02,0.0,
on,0,14,6.00,5.999,,-0.1,+0.00,0.0,
on,0,15,6.00,6.000,,+0.1,-0.01,0.0,
on,0,16,6.00,6.000,,-0.0,+0.01,0.0,
on,0,17,6.00,5.998,,+0.2,-0.01,0.0,
on,0,18,6.00,5.990,,-0.0,-0.00,0.0,
on,0,19,6.00,5.997,,-0.0,+0.00,0.0,
on,0,20,6.00,6.000,,-0.0,-0.00,0.0,
on,0,21,6.00,6.000,,+0.2,-0.02,0.0,
on,0,22,6.00,6.000,,-0.3,+0.02,0.0,
on,0,23,6.00,5.999,,+0.1,+0.00,0.0,
on,0,24,6.00,6.000,,-0.0,-0.00,0.0,
on,0,25,6.00,5.999,,-0.0,+0.00,0.0,
on,0,26,6.00,6.000,,-0.0,-0.00,0.0,
on,0,27,6.00,6.000,,-0.0,+0.00,0.0,
on,0,28,6.00,6.000,,+0.2,-0.02,0.0,
on,0,29,6.00,6.000,,-0.2,+0.02,0.0,
on,0,30,6.00,6.000,,-0.0,+0.01,0.0,
on,0,31,6.00,6.000,,+0.2,-0.02,0.0,
on,0,32,6.00,4.747,,+0.9,-0.09,0.0,
on,0,33,6.00,6.000,,-0.1,+0.01,0.0,
on,0,34,6.00,6.000,,-0.2,+0.01,0.0,
on,0,35,6.00,6.000,,+0.0,-0.00,0.0,
on,0,36,6.00,6.000,,+0.1,-0.00,0.0,
on,0,37,6.00,5.999,,+0.3,-0.02,0.0,
on,0,38,6.00,6.000,,+0.2,-0.01,0.0,
on,0,39,6.00,6.000,,+0.5,-0.04,0.0,
on,0,40,6.00,6.000,,-0.2,+0.02,0.0,
on,0,41,6.00,6.000,,+0.3,-0.03,0.0,
on,0,42,6.00,6.000,,-0.2,+0.01,0.0,
on,0,43,6.00,6.000,,+0.2,-0.03,0.0,
on,0,44,6.00,6.000,,-0.2,+0.03,0.0,
on,0,45,6.00,6.000,,+0.1,-0.01,0.0,
on,0,46,6.00,6.000,,-0.1,-0.00,0.0,
on,0,47,6.00,6.000,,-0.0,-0.00,0.0,
on,0,48,6.00,6.000,,+0.3,-0.02,0.0,
on,0,49,6.00,6.000,,+0.3,-0.02,0.0,
on,0,50,6.00,6.000,,-0.4,+0.04,0.0,
on,0,51,6.00,6.000,,+0.2,-0.02,0.0,
on,0,52,6.00,6.000,,+0.1,-0.00,0.0,
on,0,53,6.00,6.000,,+0.3,-0.02,0.0,
on,0,54,6.00,6.000,,-0.2,+0.01,0.0,
on,0,55,6.00,6.000,,+0.0,-0.00,0.0,
on,0,56,6.00,6.000,,+0.3,-0.02,0.0,
on,0,57,6.00,6.000,,-0.1,+0.01,0.0,
on,0,58,6.00,6.000,,-0.2,+0.02,0.0,
on,0,59,6.00,6.000,,+0.2,-0.02,0.0,
on,0,60,6.00,6.000,,+0.1,-0.00,0.0,
on,0,61,6.00,6.000,,-0.1,+0.01,0.0,
on,0,62,6.00,6.000,,-0.1,+0.00,0.0,
on,0,63,6.00,6.000,,+0.2,-0.01,0.0,
on,1,0,6.00,6.000,,-0.1,-0.00,0.0,
on,1,1,6.00,5.982,,+0.3,-0.02,0.0,
on,1,2,6.00,5.993,,-0.2,+0.01,0.0,
on,1,3,6.00,5.993,,-0.3,+0.03,0.0,
on,1,4,6.00,5.996,,+0.2,-0.01,0.0,
on,1,5,6.00,5.995,,-0.1,+0.00,0.0,
on,1,6,6.00,5.997,,-0.1,+0.01,0.0,
on,1,7,6.00,5.998,,-0.4,+0.04,0.0,
