block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,spikes,rms,verdict
0,0,0,1.42,1254,2.64,973284,Y2,,,0,20.687,clean
0,1,0,1.42,1,2.28,1077354,Y2,,,0,19.563,clean
0,2,0,1.34,1643,2.35,1349688,Y2,,,0,18.619,clean
0,3,0,1.50,1,2.46,1121163,Y2,,,0,17.949,clean
0,4,0,1.32,870,2.46,818431,Y4,,,0,17.856,clean
0,5,0,1.52,1,2.35,761300,Y4,,,0,18.046,clean
0,6,0,1.47,1,2.25,128478,Y2,,,0,18.000,clean
0,7,0,1.59,1,2.33,347167,Y2,,,0,17.428,clean
0,8,0,1.50,1,2.39,250340,Y2,,,0,16.739,clean
0,9,0,1.39,444,2.68,220656,Y4,,,0,16.211,clean
0,10,0,1.56,1,2.36,586510,Y2,,,0,16.251,clean
0,11,0,1.81,1,2.22,765145,Y4,,,0,16.631,clean
0,12,0,1.45,357,2.38,285208,Y4,,,0,16.865,clean
0,13,0,1.63,1,2.26,300407,Y2,,,0,16.681,clean
0,14,0,1.44,1,2.41,1365870,Y4,,,0,16.223,clean
0,15,0,1.69,1,2.52,1157552,Y2,,,0,15.879,clean
0,16,0,1.44,1,2.54,178277,Y2,,,0,16.179,clean
0,17,0,1.57,1,2.28,87976,Y2,,,0,16.877,clean
0,18,0,1.78,653,2.43,162184,Y2,,,0,19.203,clean
0,19,0,1.57,1,2.41,943691,Y4,,,0,17.226,clean
0,20,0,1.60,1,2.45,770241,Y2,,,0,16.358,clean
0,21,0,1.40,1,2.34,1144946,Y4,,,0,15.642,clean
0,22,0,1.58,1,2.54,341445,Y2,,,0,15.403,clean
0,23,0,1.37,1,2.51,429600,Y2,,,0,15.759,clean
0,24,0,1.79,1,2.47,1277357,Y2,,,0,16.109,clean
0,25,0,2.26,204,2.53,32991,Y4,,,0,16.016,clean
0,26,0,1.46,1,2.31,634879,Y4,,,0,15.409,clean
0,27,0,1.89,1,2.41,77516,Y2,,,0,14.981,clean
0,28,0,1.73,1,2.42,536352,Y2,,,0,14.444,clean
0,29,0,1.68,1,2.37,1386344,Y4,,,0,14.644,clean
0,30,0,1.70,1,2.73,651777,Y4,,,0,15.031,clean
0,31,0,1.73,1,2.39,1035154,Y4,,,0,14.983,clean
0,32,0,1.37,1000,2.59,1351297,Y4,,,0,14.400,clean
0,33,0,1.53,1,2.34,321686,Y2,,,0,13.817,clean
0,34,0,1.69,1,2.37,1228094,Y4,,,0,13.627,clean
0,35,0,1.68,1,2.27,414848,Y2,,,0,14.015,clean
0,36,0,1.73,1,2.58,742525,Y4,,,0,14.546,clean
0,37,0,1.68,1,2.60,1072973,Y2,,,0,14.687,clean
0,38,0,1.54,1,2.27,496924,Y2,,,0,14.152,clean
0,39,0,1.96,1,2.42,16183,Y2,,,0,13.492,clean
0,40,0,1.65,1,2.62,1279593,Y4,,,0,13.196,clean
0,41,0,1.70,1,2.36,1464844,Y4,,,0,13.410,clean
0,42,0,1.87,1,2.33,282705,Y2,,,0,13.889,clean
0,43,0,1.64,1,2.32,1372486,Y2,,,0,14.109,clean
0,44,0,1.95,1,2.42,1102120,Y2,,,0,13.608,clean
0,45,0,1.82,1,2.43,614583,Y4,,,0,12.803,clean
0,46,0,1.93,1,2.52,842214,Y2,,,0,12.260,clean
0,47,0,1.97,1,2.48,314087,Y2,,,0,12.138,clean
0,48,0,1.82,1,2.75,762105,Y4,,,0,12.335,clean
0,49,0,1.90,1,2.48,66966,Y4,,,0,12.418,clean
0,50,0,2.02,1,2.30,529915,Y2,,,0,11.932,clean
0,51,0,2.14,1,2.36,732869,Y4,,,0,11.084,clean
0,52,0,2.41,1,2.36,80734,Y2,,,0,10.296,clean
0,53,0,2.42,1,2.40,1105428,Y2,,,0,9.746,clean
0,54,0,2.39,1,2.51,876009,Y2,,,0,9.361,clean
0,55,0,2.46,1,2.34,809133,Y4,,,0,8.875,clean
0,56,0,3.34,1,2.21,1205832,Y4,0.00/noise-like,0.00/noise-like,0,7.948,hump-note
0,57,0,0,-1,0,0,-,,,0,6.780,QUARANTINE:dark-lane range=60 distinct=59
0,58,0,0,-1,0,0,-,,,0,5.753,QUARANTINE:dark-lane range=49 distinct=50
0,59,0,0,-1,0,0,-,,,0,4.884,QUARANTINE:dark-lane range=43 distinct=43
0,60,0,0,-1,0,0,-,,,0,4.157,QUARANTINE:dark-lane range=37 distinct=37
0,61,0,0,-1,0,0,-,,,0,3.556,QUARANTINE:dark-lane range=33 distinct=33
0,62,0,0,-1,0,0,-,,,0,2.963,QUARANTINE:dark-lane range=24 distinct=25
0,63,0,0,-1,0,0,-,,,0,2.403,QUARANTINE:dark-lane range=19 distinct=20
1,0,0,1.39,627,2.53,83148,Y2,,,0,20.710,clean
1,1,0,1.43,1113,2.71,518739,Y2,,,0,19.551,clean
1,2,0,1.47,1643,2.31,1262337,Y4,,,0,18.553,clean
1,3,0,1.37,811,2.49,220746,Y4,,,0,17.928,clean
1,4,0,1.74,1,2.68,1304448,Y4,,,0,17.864,clean
1,5,0,1.54,1,2.47,370860,Y4,,,0,18.034,clean
1,6,0,1.33,1433,2.59,780344,Y4,,,0,17.945,clean
1,7,0,1.71,1,2.62,593930,Y4,,,0,17.417,clean
1,8,0,1.33,272,2.39,1084685,Y4,,,0,16.744,clean
1,9,0,1.53,1,2.46,1409858,Y2,,,0,16.232,clean
1,10,0,1.67,1,2.33,99957,Y2,,,0,16.233,clean
1,11,0,1.40,1251,2.53,745565,Y2,,,0,16.646,clean
1,12,0,1.58,1,2.28,1395196,Y4,,,0,16.877,clean
1,13,0,1.39,1,2.76,312030,Y2,,,0,16.692,clean
1,14,0,1.65,1,2.50,80824,Y4,,,0,16.217,clean
1,15,0,1.83,1,2.46,198483,Y4,,,0,15.917,clean
1,16,0,1.43,1423,2.48,1026660,Y4,,,0,16.177,clean
1,17,0,1.49,1,2.35,1162469,Y2,,,0,16.852,clean
1,18,0,1.74,730,2.48,982851,Y4,,,0,19.137,clean
1,19,0,1.42,158,2.44,80377,Y2,,,0,17.227,clean
1,20,0,1.63,1,2.44,706851,Y2,,,0,16.332,clean
1,21,0,1.63,1,2.47,755489,Y2,,,0,15.650,clean
1,22,0,1.79,1,2.40,336528,Y4,,,0,15.406,clean
1,23,0,1.67,1,2.43,317752,Y2,,,0,15.747,clean
1,24,0,1.66,1,2.30,573277,Y4,,,0,16.136,clean
1,25,0,2.30,204,2.37,628263,Y2,,,0,15.998,clean
1,26,0,1.39,1,2.76,889510,Y2,,,0,15.398,clean
1,27,0,1.65,615,2.40,542969,Y4,,,0,14.973,clean
1,28,0,1.67,1,2.73,105590,Y4,,,0,14.445,clean
1,29,0,1.60,1,2.50,392944,Y2,,,0,14.670,clean
1,30,0,1.79,1,2.40,719905,Y2,,,0,15.034,clean
1,31,0,1.88,1,2.44,848562,Y4,,,0,14.959,clean
1,32,0,1.36,367,2.44,413775,Y4,,,0,14.411,clean
1,33,0,1.89,1,2.40,714988,Y4,,,0,13.797,clean
1,34,0,1.87,1,2.30,171840,Y2,,,0,13.636,clean
1,35,0,1.84,1,2.53,834167,Y2,,,0,13.998,clean
1,36,0,1.73,1,2.29,91642,Y2,,,0,14.539,clean
1,37,0,1.55,1,2.33,1248658,Y2,,,0,14.619,clean
1,38,0,1.86,1,2.31,196874,Y2,,,0,14.159,clean
1,39,0,1.80,1,2.69,52214,Y4,,,0,13.501,clean
1,40,0,1.77,1,2.37,758708,Y2,,,0,13.193,clean
1,41,0,1.62,1,2.36,1349419,Y4,,,0,13.408,clean
1,42,0,1.97,1,2.41,977397,Y2,,,0,13.856,clean
1,43,0,1.84,1,2.31,1260191,Y4,,,0,14.089,clean
1,44,0,1.75,1,2.40,1248837,Y4,,,0,13.622,clean
1,45,0,1.70,1,2.51,326782,Y2,,,0,12.776,clean
1,46,0,1.93,1,2.27,250518,Y2,,,0,12.267,clean
1,47,0,1.89,1,2.30,1371771,Y2,,,0,12.139,clean
1,48,0,1.78,1,2.46,1397341,Y4,,,0,12.351,clean
1,49,0,1.86,1,2.45,419855,Y2,,,0,12.392,clean
1,50,0,1.97,1,2.63,1322865,Y2,,,0,11.942,clean
1,51,0,2.09,1,2.47,214845,Y4,,,0,11.089,clean
1,52,0,2.21,1,2.29,833452,Y4,,,0,10.288,clean
1,53,0,2.34,1,2.47,944674,Y4,,,0,9.718,clean
1,54,0,2.52,1,2.30,73940,Y4,0.00/noise-like,0.00/noise-like,0,9.360,hump-note
1,55,0,2.99,1,2.25,380158,Y2,0.00/noise-like,0.00/noise-like,0,8.898,hump-note
1,56,0,3.05,1,2.35,615031,Y2,0.00/noise-like,0.24/noise-like,0,7.939,hump-note
1,57,0,0,-1,0,0,-,,,0,6.777,QUARANTINE:dark-lane range=57 distinct=58
1,58,0,0,-1,0,0,-,,,0,5.741,QUARANTINE:dark-lane range=47 distinct=48
1,59,0,0,-1,0,0,-,,,0,4.875,QUARANTINE:dark-lane range=46 distinct=44
1,60,0,0,-1,0,0,-,,,0,4.155,QUARANTINE:dark-lane range=35 distinct=36
1,61,0,0,-1,0,0,-,,,0,3.555,QUARANTINE:dark-lane range=30 distinct=31
1,62,0,0,-1,0,0,-,,,0,2.953,QUARANTINE:dark-lane range=26 distinct=27
1,63,0,0,-1,0,0,-,,,0,2.400,QUARANTINE:dark-lane range=23 distinct=23
2,0,0,1.39,750,2.33,108361,Y2,,,0,20.694,clean
2,1,0,1.42,285,2.37,292987,Y2,,,0,19.603,clean
2,2,0,1.41,981,2.36,1438737,Y4,,,0,18.581,clean
2,3,0,1.41,805,2.41,944227,Y4,,,0,17.956,clean
2,4,0,1.57,1,2.37,724375,Y2,,,0,17.793,clean
2,5,0,1.51,1,2.32,686467,Y4,,,0,18.049,clean
2,6,0,1.60,1478,2.42,161290,Y2,,,0,17.964,clean
2,7,0,1.41,1,2.40,3755,Y2,,,0,17.437,clean
2,8,0,1.42,1,2.49,846595,Y2,,,0,16.730,clean
2,9,0,1.43,1,2.33,1129478,Y4,,,0,16.236,clean
2,10,0,1.61,1,2.35,59634,Y2,,,0,16.242,clean
2,11,0,1.46,1,2.32,623971,Y4,,,0,16.657,clean
2,12,0,1.49,1,2.33,1414508,Y4,,,0,16.869,clean
2,13,0,1.38,80,2.28,971138,Y2,,,0,16.716,clean
2,14,0,1.62,1,2.43,1003414,Y4,,,0,16.192,clean
2,15,0,1.62,1,2.38,135273,Y2,,,0,15.921,clean
2,16,0,1.51,1,2.48,130713,Y2,,,0,16.193,clean
2,17,0,1.31,132,2.40,246406,Y4,,,0,16.881,clean
2,18,0,1.54,771,2.45,373453,Y4,,,0,19.190,clean
2,19,0,1.49,1,2.69,780791,Y2,,,0,17.244,clean
2,20,0,1.61,1,2.52,540644,Y4,,,0,16.330,clean
2,21,0,1.41,1189,2.57,601441,Y4,,,0,15.633,clean
2,22,0,1.63,1,2.25,430763,Y4,,,0,15.393,clean
2,23,0,1.69,1,2.56,1192421,Y4,,,0,15.744,clean
2,24,0,1.45,1,2.34,96649,Y4,,,0,16.130,clean
2,25,0,2.11,204,2.31,891566,Y2,,,0,16.007,clean
2,26,0,1.56,1,2.35,153601,Y4,,,0,15.382,clean
2,27,0,1.85,632,2.37,1184464,Y2,,,0,14.955,clean
2,28,0,1.68,1,2.32,981152,Y4,,,0,14.462,clean
2,29,0,1.66,1,2.29,888079,Y2,,,0,14.673,clean
2,30,0,1.50,1,2.32,900328,Y2,,,0,15.004,clean
2,31,0,1.62,1,2.57,23872,Y4,,,0,14.991,clean
2,32,0,1.55,291,2.37,349581,Y4,,,0,14.426,clean
2,33,0,1.73,1,2.30,492275,Y4,,,0,13.797,clean
2,34,0,1.67,1,2.36,260711,Y4,,,0,13.645,clean
2,35,0,1.88,1,2.32,563353,Y4,,,0,14.001,clean
2,36,0,1.55,1,2.25,1009852,Y2,,,0,14.558,clean
2,37,0,1.69,1,2.34,488788,Y2,,,0,14.682,clean
2,38,0,1.61,1,2.33,397593,Y2,,,0,14.195,clean
2,39,0,1.96,1,2.31,561476,Y4,,,0,13.500,clean
2,40,0,1.96,1,2.54,183821,Y4,,,0,13.171,clean
2,41,0,1.65,1,2.30,901580,Y2,,,0,13.414,clean
2,42,0,1.59,1,2.55,1364529,Y2,,,0,13.878,clean
2,43,0,1.99,1,2.21,1211643,Y4,,,0,14.090,clean
2,44,0,1.64,1,2.49,292361,Y4,,,0,13.610,clean
2,45,0,1.92,1,2.76,251949,Y2,,,0,12.805,clean
2,46,0,1.62,1,2.48,922859,Y4,,,0,12.279,clean
2,47,0,1.80,1,2.47,611186,Y2,,,0,12.143,clean
2,48,0,1.50,1,2.53,901401,Y4,,,0,12.317,clean
2,49,0,2.08,1,2.43,341356,Y2,,,0,12.395,clean
2,50,0,1.99,1,2.52,1062512,Y4,,,0,11.920,clean
2,51,0,2.10,1,2.30,189543,Y4,,,0,11.090,clean
2,52,0,2.20,1,2.20,592232,Y2,,,0,10.296,clean
2,53,0,2.24,1,2.30,1412541,Y4,,,0,9.729,clean
2,54,0,2.45,1,2.34,306398,Y2,,,0,9.367,clean
2,55,0,2.90,1,2.24,938505,Y2,0.00/noise-like,0.24/noise-like,0,8.868,hump-note
2,56,0,2.92,1,2.29,1053751,Y2,0.00/noise-like,0.24/noise-like,0,7.948,hump-note
2,57,0,0,-1,0,0,-,,,0,6.793,QUARANTINE:dark-lane range=57 distinct=57
2,58,0,0,-1,0,0,-,,,0,5.742,QUARANTINE:dark-lane range=52 distinct=48
2,59,0,0,-1,0,0,-,,,0,4.875,QUARANTINE:dark-lane range=42 distinct=43
2,60,0,0,-1,0,0,-,,,0,4.168,QUARANTINE:dark-lane range=35 distinct=36
2,61,0,0,-1,0,0,-,,,0,3.558,QUARANTINE:dark-lane range=29 distinct=30
2,62,0,0,-1,0,0,-,,,0,2.958,QUARANTINE:dark-lane range=27 distinct=27
2,63,0,0,-1,0,0,-,,,0,2.395,QUARANTINE:dark-lane range=20 distinct=21
3,0,0,1.43,555,2.41,1116693,Y2,,,0,20.685,clean
3,1,0,1.41,960,2.39,858486,Y4,,,0,19.579,clean
3,2,0,1.37,298,2.29,632644,Y2,,,0,18.559,clean
3,3,0,1.52,1,2.43,131965,Y4,,,0,17.970,clean
3,4,0,1.36,1381,2.37,850439,Y4,,,0,17.843,clean
3,5,0,1.53,1,2.52,1163363,Y4,,,0,18.020,clean
3,6,0,1.66,1,2.44,916600,Y2,,,0,17.961,clean
3,7,0,1.33,1016,2.47,777662,Y4,,,0,17.424,clean
3,8,0,1.49,1,2.37,1142800,Y4,,,0,16.775,clean
3,9,0,1.67,1,2.27,408947,Y2,,,0,16.242,clean
3,10,0,1.47,1,2.63,1017630,Y2,,,0,16.235,clean
3,11,0,1.32,1360,2.52,730097,Y4,,,0,16.639,clean
3,12,0,1.49,1,2.28,912488,Y2,,,0,16.905,clean
3,13,0,1.37,16,2.63,40501,Y4,,,0,16.704,clean
3,14,0,1.39,1371,2.27,1335025,Y4,,,0,16.213,clean
3,15,0,1.55,1,2.34,1317322,Y4,,,0,15.923,clean
3,16,0,1.53,1,2.35,1036763,Y2,,,0,16.196,clean
3,17,0,1.70,1,2.52,279129,Y4,,,0,16.873,clean
3,18,0,1.57,785,2.61,393033,Y2,,,0,19.192,clean
3,19,0,1.38,46,2.45,1391798,Y4,,,0,17.238,clean
3,20,0,1.39,1,2.53,1037121,Y2,,,0,16.376,clean
3,21,0,1.45,1370,2.49,166118,Y4,,,0,15.653,clean
3,22,0,1.74,1,2.73,519991,Y4,,,0,15.447,clean
3,23,0,1.56,1,2.63,49442,Y2,,,0,15.759,clean
3,24,0,1.52,1,2.47,1459032,Y4,,,0,16.138,clean
3,25,0,2.11,204,2.48,467598,Y4,,,0,16.007,clean
3,26,0,1.40,1,2.30,1003861,Y2,,,0,15.404,clean
3,27,0,1.81,1,2.36,1457155,Y4,,,0,14.955,clean
