tag,pol,block,chan,fam_hz,fam_tag,alpha_hz,f_hz,ratio,dechirp_x,dechirp_gamma
off,1,55,52,358,Y4,702381,0,12.01,1834.13,0
off,1,55,52,358,Y4,137329,0,10.04,1834.13,0
off,1,55,52,358,Y4,267506,0,9.97,1834.13,0
off,0,55,52,626,Y4,486374,243187,12.52,1907.68,0
off,0,55,52,626,Y4,792503,396252,11.43,1907.68,0
off,0,55,52,626,Y4,499249,249624,10.85,1907.68,0
on,0,21,52,2861,Y4,240326,0,10.79,1745.93,0
on,0,21,52,2861,Y4,1334667,667334,10.41,1745.93,0
on,0,21,52,2861,Y4,1457691,728846,9.96,1745.93,0
on,0,88,52,626,Y4,111580,0,10.38,1765.73,0
on,0,88,52,626,Y4,795364,397682,10.24,1765.73,0
on,0,88,52,626,Y4,992775,0,10.16,1765.73,0
on,1,88,52,626,Y4,257492,0,10.92,1937.48,0
on,1,88,52,626,Y4,474930,0,9.98,1937.48,0
on,1,88,52,626,Y4,1194477,0,9.83,1937.48,0
on,1,100,0,1237035,Y2,1469135,0,35.36,23420.91,0
on,1,100,0,1237035,Y2,1447678,0,32.10,23420.91,0
on,1,100,0,1237035,Y2,147343,0,32.08,23420.91,0
on,1,10,0,995636,Y2,1104355,0,35.62,23593.52,0
on,1,10,0,995636,Y2,1290321,0,31.86,23593.52,0
on,1,10,0,995636,Y2,543594,0,30.21,23593.52,0
on,1,86,0,88066,Y4,885487,442743,37.53,23354.32,0
on,1,86,0,88066,Y4,224590,112295,31.78,23354.32,0
on,1,86,0,88066,Y4,187397,0,31.58,23354.32,0
on,1,93,0,1147807,Y4,134468,0,35.49,21288.69,0
on,1,93,0,1147807,Y4,504971,0,34.89,21288.69,0
on,1,93,0,1147807,Y4,60081,0,33.81,21288.69,0
on,1,28,0,1129568,Y4,1007080,503540,34.54,23462.66,0
on,1,28,0,1129568,Y4,949860,474930,34.43,23462.66,0
on,1,28,0,1129568,Y4,417709,208855,33.74,23462.66,0
on,1,27,0,1170605,Y2,433445,0,35.47,23115.95,0
on,1,27,0,1170605,Y2,1135826,0,33.55,23115.95,0
on,1,27,0,1170605,Y2,1371861,0,33.42,23115.95,0
on,1,56,0,17256,Y2,1467705,0,40.11,23102.98,0
on,1,56,0,17256,Y2,91553,0,34.06,23102.98,0
on,1,56,0,17256,Y2,336170,0,33.25,23102.98,0
on,1,9,0,1241058,Y2,967026,483513,35.14,23349.62,0
on,1,9,0,1241058,Y2,826836,413418,32.11,23349.62,0
on,1,9,0,1241058,Y2,1071453,535727,31.81,23349.62,0
on,1,3,0,117213,Y2,1343250,0,35.10,23080.34,0
on,1,3,0,117213,Y2,891209,0,34.36,23080.34,0
on,1,3,0,117213,Y2,1271725,0,33.91,23080.34,0
on,1,31,0,208229,Y2,200272,100136,35.99,23878.26,0
on,1,31,0,208229,Y2,1400471,700235,34.68,23878.26,0
on,1,31,0,208229,Y2,700951,0,34.17,23878.26,0
on,1,101,0,6706,Y2,416279,0,34.72,22884.91,0
on,1,101,0,6706,Y2,1420498,0,34.54,22884.91,0
on,1,101,0,6706,Y2,330448,0,30.85,22884.91,0
on,1,19,0,91732,Y2,267506,0,37.37,23013.70,0
on,1,19,0,91732,Y2,346184,173092,32.42,23013.70,0
on,1,19,0,91732,Y2,1183033,591516,31.83,23013.70,0
on,1,60,0,703096,Y2,855446,0,35.85,21920.14,0
on,1,60,0,703096,Y2,1273155,636578,34.72,21920.14,0
on,1,60,0,703096,Y2,1092911,546455,33.60,21920.14,0
on,1,30,0,789285,Y2,855446,0,38.59,22484.52,0
on,1,30,0,789285,Y2,323296,0,36.83,22484.52,0
on,1,30,0,789285,Y2,999928,499964,36.60,22484.52,0
on,1,32,0,245959,Y4,200272,0,40.80,22910.68,0
on,1,32,0,245959,Y4,1150131,0,35.54,22910.68,0
on,1,32,0,245959,Y4,267506,0,32.31,22910.68,0
on,1,2,0,738770,Y4,609398,0,36.03,23385.84,0
on,1,2,0,738770,Y4,1198769,0,32.95,23385.84,0
on,1,2,0,738770,Y4,504971,0,31.67,23385.84,0
on,1,74,0,1257330,Y2,865459,0,38.57,22608.14,0
on,1,74,0,1257330,Y2,246048,0,36.72,22608.14,0
on,1,74,0,1257330,Y2,629425,314713,36.05,22608.14,0
on,1,124,0,583470,Y2,18597,0,33.85,22057.82,0
on,1,124,0,583470,Y2,1474857,0,32.33,22057.82,0
on,1,124,0,583470,Y2,666618,333309,32.28,22057.82,0
on,1,125,0,151187,Y4,32902,0,39.96,21910.77,0
on,1,125,0,151187,Y4,1414776,0,36.42,21910.77,0
on,1,125,0,151187,Y4,1331806,0,35.06,21910.77,0
on,1,94,0,368088,Y2,1253128,626564,33.68,20629.88,0
on,1,94,0,368088,Y2,1214504,0,32.50,20629.88,0
on,1,94,0,368088,Y2,1065731,0,31.01,20629.88,0
