block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,verdict
0,44,0,1.74,1,2.36,394732,Y4,,,clean
1,44,0,1.46,1,2.51,970781,Y4,,,clean
2,44,0,1.56,1,10.66,2593,Y4,0.24/noise-like,0.00/noise-like,FAM-HIT
3,44,0,1.85,1,2.63,1042753,Y4,,,clean
4,44,0,2.06,1,22.86,179,Y4,0.24/noise-like,0.24/noise-like,FAM-HIT
5,44,0,1.92,1,2.68,767916,Y2,,,clean
6,44,0,1.72,1,2.30,155479,Y4,,,clean
7,44,0,1.82,1,2.40,881910,Y4,,,clean
8,44,0,1.84,1,2.83,1159340,Y2,,,clean
9,44,0,1.82,1,2.59,1216292,Y4,,,clean
10,44,0,1.98,1,2.44,233978,Y4,,,clean
11,44,0,1.72,1,2.68,646055,Y4,,,clean
12,44,0,1.63,1,6.11,1341,Y4,0.00/noise-like,0.00/noise-like,FAM-HIT
13,44,0,1.57,1,5.53,983,Y4,0.00/noise-like,0.00/noise-like,FAM-HIT
14,44,0,1.75,1,2.55,803232,Y2,,,clean
15,44,0,1.89,1,2.45,1464844,Y4,,,clean
16,44,0,1.70,1,2.36,1236945,Y4,,,clean
17,44,0,1.81,1,2.39,1044989,Y4,,,clean
18,44,0,1.97,1,2.63,1208246,Y4,,,clean
19,44,0,1.80,1,2.31,1188129,Y2,,,clean
20,44,0,1.82,1,2.59,1351207,Y2,,,clean
21,44,0,1.82,1,2.41,864565,Y4,,,clean
22,44,0,1.85,1,2.25,936002,Y2,,,clean
23,44,0,1.88,1,2.49,380516,Y2,,,clean
24,44,0,1.71,1,2.64,561118,Y4,,,clean
25,44,0,1.53,1,2.47,744492,Y4,,,clean
26,44,0,1.85,1,2.52,181139,Y2,,,clean
27,44,0,1.66,1,2.52,1147002,Y2,,,clean
28,44,0,2.02,1,2.61,306219,Y2,,,clean
29,44,0,1.80,1,2.35,2235,Y2,,,clean
30,44,0,2.05,1,2.46,1400918,Y4,,,clean
31,44,0,1.83,1,2.47,105411,Y2,,,clean
